yuj;A r;udrAsaH
sUkt;eBiH v;acoBiH
mitr;A ut;a
vaH v;arSiSWaH
aryam;A n;u
arSa ;azvam
r;aTAH ;azvAsaH
n;a darzat;am
sat;aH v;i
n;avyAMsi m;arutaH
s;a rip;uH
y;am agn;im
Avat mitr;A
voc;ema z;aMtamam
vqZAn;aH pavate
eDate v;i
pit;A putr;am
mAt;A siSakti
h;otA gqh;apatiH
viz;A ;upa
upastut;am agn;inA
svaDAvaH ;asti
n;a pazuv;arDanAya
iva zqZve
panasy;um ark;iZam
gir;In acucyavItana
;anu dvit;A
DUm;am agne
vaH am;qtaH
g;ave asm;e
daDe jy;otiH
meTAmasi sUkt;EH
naH karati
;A vivAse
cakrire B;uvat
s;OBagA y;at
sug;A naH
pqTiv;I jujurv;An
rudr;iyam y;aTA
sv;azvyam d;aDIta
pr;a yantu
tarut;A mahADan;e
suv;Iryam marutaH
kv:a suvit;A
pr;a vepayanti
pUSan ;aDvanaH
devay;antaH tvA
pr;a etu
;indra prAz;UH
jIv;ase k;at
antarv;Avat kS;ayam
dUt;am pratn;am
g;iraH k;ASWAH
;ati sr;iDaH
tveS;AH ;amavantaH
v;ayaH mAt;uH
z;aMtamam hqd;e
s;akSva deva
eSAm k;azAH
d;aDIta y;aH
p;anTAH anqkSar;aH
naH UrDv;An
vaH y;AmAya
y;at pqTiv;Im
;arTam g;anta
;azvam g;Am
yaMsi ca
santu ;AyuDA
v;izvA dev;eSu
rudr;am j;alASaBeSajam
v;izvam s;am
sUn;avaH g;iraH
dIdiyuH t;am
h;otAram vizv;avedasam
y;am namasy;anti
k;ASWAH ;ajmeSu
vqZImahe y;ena
;AhutaH kr;andat
mandr;aH h;otA
naH ;avasA
r;udrAsaH n;u
y;Anti mar;utaH
ut;a m;eDyAtiTim
pur;A itT;A
v;AzIBiH aYj;iBiH
te sat;aH
v;qSA dyumn;I
pr;a-pra dAzv;An
y;aTA v;izve
B;uvanAni v;izvA
dev;An suv;IryA
dasm;am Imahe
n;a B;UmyAm
anqkSar;aH ;AdityAsaH
iva vizp;atiH
;atra avaKAd;aH
ih;a y;ajiSWam
v;aruZasya m;A
vidy;ut mimAti
t;am im;AH
pqTivy;AH v;i
z;avasA v;i
titirv;AMsaH ;ati
ugr;Aya many;ave
soma vedaH
vaH d;uvaH
n;a savit;A
vedaH ;aDi
asi z;ocasva
sug;aH p;anTAH
m;A m;artyasya
aneh;asam im;Am
y;at yUy;am
;asyaTa k;asya
cit d;adamAnAt
turv;Itim d;asyave
sahov;qDam hav;iSmantaH
D;ane hit;e
n;a y;avase
t;anAya k;am
agne suB;age
;A n;iDAtoH
vart;ayaTa gur;u
daDe n;a
sIm ;it
Gn;anti r;AjAnaH
zriy;e jAt;aH
am;qtaH syAt
p;Anti m;artyam
vid;AH dev;eSu
prAz;UH Bava
ca DUtayaH
m;artyaH v;asu
v;izvam ;A
qt;At ;aDi
jarit;A BUt
daDAti zr;iyam
j;anAya z;azvate
saKAyaH st;omam
cit azrot
;asarji d;ivA
itT;A parAv;ataH
v;iSvak v;i
m;artyaH upabrUt;e
vaH s;a
dev;AsaH m;anave
