sah;a t;e
yajY;iyAH t;e
yajY;asya ket;um
me ;A
n;a v;iprAH
m;anyase ray;im
ut;a vIr;An
zumB;anti ;azvarADasaH
y;aH te
;ava sma
;upa im;am
r;odasI uB;e
dev;EH sar;aTam
;upa pr;a
;A paz;um
;A mah;aH
uruSy;a naH
y;aH tvA
t;am u
t;am tvA
aB;i id;am
v;izvA y;aH
;ojasA y;at
pr;a yanti
s;am IDire
zruD;i h;avam
;A r;ajaH
y;aH naH
nqmZ;am ;A
siMh;am iva
vA Ga
y;avam n;a
v;i BAti
y;aH Im
ur;u naH
mah;Im ar;amatim
;iSaH ;A
agne vaha
me h;avam
qt;asya p;anTAm
n;i riZAti
pr;a s;u
h;anti vqtr;am
h;otAram tvA
h;i agne
s;a pr;a
s;am vaH
;ahiH buDny:aH
y;at ;asan
pit;qByaH ;A
naH ;ut
t;A vAm
agne pr;ati
id;am s;u
vA y;aH
vAy;um raTay;ujam
vA y;e
indra asi
r;aTaH n;a
gAt;um ;A
u ;A
n;a t;AH
dv;eSAMsi sanut;ar
ca varDaya
rudr;AH mar;utaH
cit s;a
v;i ant;arikSam
ut;a zr;avaH
uS;asaH vy:uSwO
ca vidv;An
m;A naH
;atyaH n;a
aj;aram y;at
m;AnuSA yug;A
;asurasya mAy;ayA
h;antav;E u
naH avantu
n;a tv;at
Bara tv;am
;anu dy;Un
aps;u ;A
dAz;uSe m;artyAya
k;aH can;a
yajY;am ;A
tisr;aH dev;IH
s;u me
ay;am agn;iH
v;Ajam darSi
svast;aye svast;i
ap;aH sv:ar
saD;asTe ;A
y;ena sv:ar
aB;i y;e
daDiSe svarS;Am
z;arma yaCa
vidv;An ;anu
t;at qt;am
aB;i naH
t;uBya id;am
;ekaH ;it
;etAH n;a
naH ;indraH
n;a vaH
y;at pr;a
dev;AnAm vratap;AH
h;avam ;A
pqSW;A iva
navat;im ca
div;i zr;avaH
v;i caSwe
ket;um praTam;am
v;i ca
u ty;e
;A y;at
tv;am agne
vay;am syAma
n;amoBiH ;A
y;at tvA
sv;e kS;aye
;aDa h;i
uB;e ;ahanI
varuZa mitra
dIya r;aTena
me st;omam
m;aryAH arep;asaH
t;at eSAm
pr;a me
vIr;avat y;azaH
et;am me
y;at ady;a
jAtavedaH ;A
pr;a ut;a
v;i s;UryaH
;anu gman
m;itra ;aryaman
;upa yAhi
cit asya
v;i caranti
ady;a naH
t;amasaH n;iH
amartya t;am
vikS;u pr;a
r;aTaH vartate
y;at tv;am
agne sumat;im
praTam;am pur;ohitam
y;e div;aH
cac;akSa t;ena
sut;An ;upa
v;aruZaH ca
h;i tv;Am
pr;a agn;aye
;A vivAsa
;A te
;agre ;ahnAm
t;uByam agne
kv:a sy;a
;anu y;at
;A y;am
;A id;am
t;am ;it
;aDi ;it
v;asyaH ;aCa
n;a ;adrayaH
qt;asya mAt;arA
mayoB;uvA t;A
;it indra
cit n;a
v;i y;aH
u n;u
s;at ca
t;e syAma
k;aH ha
;apa u
mahim;Anam ;ojasA
n;u te
t;am naH
;atra mar;utaH
asy;a naH
n;a ;asunvatA
;A y;aH
;A suva
tm;anA ut;a
h;i vAm
;A viveza
cit ;A
param;e vy:oman
;indraH v;izvasya
zatakrato ;indra
iva naH
tvA n;i
raT;I iva
agn;iH naH
n;i DAyi
p;ari sicyate
;ut Iraya
naH ady;a
naH g;iraH
ap;aH ca
v;izve dev;AH
agn;A BavAti
;A ISate
daDAtu naH
;A vaH
zqZ;otu naH
t;e naH
pqTiv;Im ut;a
;ahan ;ahim
pr;a ca
t;at h;i
;aram karat
div;aH caranti
mah;e vid;aTe
;indraH maG;avA
ca v;i
pr;a y;at
priy;aH agn;A
s;UraH cit
st;omam ca
pr;a minanti
;A r;odasI
iva ;it
u t;e
kr;atum naH
;A asadaH
doS;A v;astoH
y;e Ayay;uH
Badr;am ;A
gm;aH ca
d;Evyam j;anam
kqZvAn;AH ayajanta
k;e te
dev;IH y;aH
y;at asya
puruhUta v;izve
s;ahaH ;ojaH
B;uvanasya r;AjA
r;aTena ;A
n;a vIr;AH
ut;a u
duSv;apnyam suva
g;OH iva
s;A naH
deva savitar
iy;am pqTiv;I
tanv:e sv;AyE
;A tatAna
div;aH ca
div;aH naH
v;izvA rUp;AZi
;anu vrat;am
dev;An ;aCa
p;ari dIya
pr;a h;i
cit me
iva ;A
s;A te
