soma saKy;e
naH stut;aH
y;oSAm aB;i
y;aH Im
ca zasyate
vaH st;omaH
ay;am vAm
te maGavan
;aDi kS;ami
te v;ajram
pr;a s;u
s;asmin ;UDan
v;izve am;qtAH
vay;am ady;a
uS;asaH viBAt;IH
h;i agne
n;a u
;iyarti reZ;um
samiDAn;e agn;O
uzat;I suv;AsAH
s;am vaH
v;i AnuS;ak
anazv;aH jAt;aH
iva Dr;ajataH
tvA g;otamAH
ady;a huvema
s;u asm;An
v;i y;at
vay;am havAmahe
ih;a ;upa
ca m;artyam
naH asy;a
uS;asaH vy:uSwO
m;A naH
me qt;AnAm
v;asAnaH ;A
bqh;at B;AH
d;ipsantaH ;it
;A agan
v;izvA B;uvanA
t;asya ;it
;ApaH Ay;oH
naH dev;IH
g;iraH ca
n;aryA pur;UZi
;azvam n;a
qt;am ;A
;indram y;aH
;anu dy;Un
tv;am indra
t;An suk;qtaH
dAz;uSe m;artyAya
s;inDoH iva
zasyate ay;am
vqSaB;Aya v;qSZe
naH pr;a
g;Am ariZIta
savit;uH d;Evyasya
ih;a vakSati
qt;asya DIt;iH
vAm mah;aH
aB;i y;e
mah;An asi
zqZuhi tv;am
pAtu dev;aH
param;am y;at
aprAH dy;AvApqTiv;I
aB;i naH
s;am ha
r;atnAni dAz;uSe
;ekaH ;it
naH vizv;AhA
n;u naH
naH agn;iH
naH y;ena
gIrB;iH gqZ;antaH
n;a vaH
naH ;indraH
te ;anu
v;i vidv;An
k;at cit
dqX;A cit
Ar;e asm;at
;A y;at
s;am te
tv;am agne
s;adanAt qt;asya
pr;a mumugDi
n;a ;anu
naH ;upa
s;a h;otA
n;i sIda
;A aBajat
paT;iBiH devay;AnEH
;aDa h;i
;A gamat
varuZa mitra
p;ari dy;Am
naH ;aCa
y;e pAy;avaH
pqTiv;I ca
enam ;anu
paZ;ayaH sasantu
kav;iH agn;iH
vqtr;am jaGanv;An
d;ivaH napAtA
n;a ;apa
r;aTyA iva
tv;am asm;Akam
cit asya
iva st;qBiH
n;a tvA
;ut asTAt
eS;a vAm
me asy;a
;okaH n;a
n;a B;Uma
indra s;am
dAzv;AMsam ;upa
;akAri te
v;AtaH n;a
te ;ema
mahat;A vaD;ena
;ava y;at
h;i tv;Am
ray;im naH
pqTv;I bahul;e
r;aTam ;A
;A te
durit;At ;arakSan
;indraH g;AH
s;Uryam div;i
y;am sIm
;astA iva
n;a h;otA
ariZIta DIt;iBiH
t;u naH
t;am ;it
n;a enam
v;asyaH ;aCa
cit ;AgaH
sut;asya pIt;aye
vAm k;aH
v;i Avar
y;aH m;artyeSu
;anIkam y;at
v;i y;aH
vqtr;am ;indraH
u n;u
pibatam maDup;eBiH
suk;qtaH vizv;avedAH
v;izvasmE B;uvanAya
t;e syAma
trAyatAm ;aprayuCan
cakr;am vqhatAt
am;qtAH ;akqZvan
vA te
s;a dev;An
t;e ;A
n;u te
dev;EH naH
razm;ayaH s;Uryasya
y;at cakqm;a
n;avedAH me
trAt;A trAyatAm
n;Ama Badr;am
k;aH ady;a
s;inDuH adB;iH
;it agne
n;a tAy;um
;A t;u
tv;am r;AjA
;upa Im
s;omasya pIt;aye
h;i vAm
;A viveza
cit ;A
param;e vy:oman
r;aTam vay;am
suy;ujA r;aTena
naH Bavatu
vAm r;aTaH
pr;ati Badr;AH
kqSZ;am te
t;am vAm
naH ady;a
iy;am g;IH
upAk;e ;A
yuv;am naH
hqd;A m;anasA
s;Urye s;acA
;A vaH
m;adaH ca
saman;A pur;astAt
;indraH ;A
vAm ady;a
vqSaZA mAdayeTAm
;ahan ;ahim
n;i yaCatam
