amuYcat aB;i
maDv;adaH suparZ;AH
sp;qDaH yAsiSat
naH v;qkAt
y;ajamAnam ;Aryam
y;aH rAy;aH
cakr;am ;ekam
v;Aje zatakrato
dev;aputre qtAv;qDA
d;akSAZAm d;akSapatiH
yAta z;IBam
harivaH sut;e
yaCata ;aDi
kraMsate aDvar;e
k;ArADunI iva
n;a ity;A
v;Ajam samiT;eSu
k;arman-karman zat;amUtiH
tanv:am vande
agn;iH r;akSAMsi
;ekaH y;at
v;arvarti cakr;am
d;asyUn y;onO
n;a iva
satsi barh;iSi
n;a pr;a
s;Idantu m;anuSaH
asmatr;A te
vqSaZA v;AtaraMhAH
n;a sasat;aH
vIt;am pAt;am
mitr;A ut;a
v;arDanA tv;aSwA
ca BIr;uBiH
t;e DqSZ;unA
t;A z;azvantA
eSAm n;i
z;ucipratIkam t;am
;amUrAH zramay;uvaH
zayate upap;qk
pAtayati pakS;iZaH
p;arijman y;ayA
;asTAt yajat;aH
cakrAZ;AsaH parIZ;aham
nijaG;anTa h;anvoH
n;aryam ;Avatam
eS;a t;Am
sADuy;A ;adarzi
t;at c;iketat
naH st;omAn
s;inDuH n;a
;ava asuH
;adriZA pataTa
vizv;arUpAm ;upa
s;am y;am
vqSakarman ukT;EH
y;ABiH vy:azvam
n;apAtam ;avase
asm;E BIm;Aya
aG;AzvAya z;azvat
gIrB;iH tvA
v;anasya UrDv;am
kqZu y;aTA
pqTiv;I v;i
v;AjEH tv;e
;enAMsi zizraTaH
d;asyum avrat;am
daD;uH tvA
vqtr;AZAm aBavaH
d;adqzAnaH ;A
v;aSawkqtam t;am
y;Ani cy;avam
iSanta Burv;aZi
rodasI yajY;am
sT;a apsukS;itaH
pr;a asAvIt
mqkSISwa tanv:am
;arDyaH st;omaH
IzAn;AsaH iraDanta
ca sUr;ayaH
jAy;uH m;arteSu
adviSeZy;aH s;aKA
n;a harmi
aDvar;e dev;am
vAj;inam vAj;ayan
m;AnuSI B;ojate
v;AjeSu naH
asya pqkS;am
kav;iH s;an
irajyaTaH y;aH
cat;uraH p;unar
s;inDavaH p;ari
v;AjEH tr;iH
D;AmAni div;i
j;oSe uB;ayoH
;iti any;aH
dev;AsaH ;Asate
Gqt;ena pqTiv;I
;arvantam p;axbIzam
im;A br;ahmAZi
BuraZyati tqt;Iyam
praB;u asm;An
;indrasya vajr;iZaH
iva zoc;iSA
s;inDum iva
hinvantu sAt;aye
g;avAm n;ihitA
Ga syAl;At
n;ityaH ;A
vizv;aBeSajIH ;ApaH
vipany;Amahe v;i
z;qVgAZi v;iSWitA
ca m;artyam
;apa UrZute
n;qtamAsaH aYj;iBiH
;qSiBiH k;asya
s;omasya Ut;I
cAkana ay;am
te d;aMsaH
Ayan y;aH
;uraH ;aMsO
nAsatyA p;arijman
ubj;an ;arZAMsi
Urm;O upAk;e
mAy;ABiH indra
y;ABiH pur;A
r;atnAni dAz;uSe
riz;AdAH agn;iH
yuv;oH uS;AH
;aprAyuSe d;ivAtarAt
ajani ;A
m;aDumantam ;atraye
pr;a ihi
y;e Br;Ajante
mahat;aH m;anyamAnAn
n;a Dur;i
Bin;at ;adrim
dev;An suv;IryA
;aceti dasrA
namasyan ririkv;AMsaH
virapz;inaH ;anAnatAH
aB;i mAt;arA
s;arvam paZ;eH
;arvatA tv;aSwA
y;adum svast;i
et;AH juSata
;arBeSu Aj;A
jAt;aH v;izvam
te cit;ayantaH
matavacasA pAt;am
y;ujam v;AjeSu
r;aTam purumAy;am
n;a jAr;aH
pqT;u Card;iH
gAt tveS;apratIkA
suv;IraH ut;a
kqZuhi vIt;aye
v;ahnim yaz;asam
vqZImahe div;aH
dev;AsaH z;avasA
iva zaraZ;e
citt;am v;AtaH
n;i any;am
;ahigopAH atiSWan
vanv;an z;uSZam
pur;ohitaH v;izvA
te pibantu
ca m;anuH
;asAma tv;Am
ay;am dev;Aya
vizv;avedasam n;ABA
san;aye s;a
vay;am ca
huv;e tuviprat;im
vA Ga
vAm sT;avirA
jahAti tveS;am
j;AyamAnam asm;at
s;omam azv;inA
zikSatam tr;iH
;anu eti
raTay;ujaH d;iviSwiSu
hav;iH priy;aH
tm;anA B;Ut
cakr;eZa r;aTyA
vicakSaZ;aH t;ABiH
c;arataH Druv;asya
y;at Im
s;a g;AH
hinuhi sv;e
r;aTaH ;aDa
rukm;aH n;a
kaDapriye Buj;e
