eSAm iSir;AsaH adr;uhaH
sv:ar v;izvA ca
m;qDaH ca aBizrIZ;an
saty;am vqSan v;qSA
Br;AjamAnam hiraZy;ayam v;izve
cakradaH v;qSA s;am
praB;oH te sat;aH
daDAtana amitrah;A v;icarSaZiH
suSvAZ;am dev;avItaye p;avante
Gqt;am pavasva D;ArayA
;eSi s;Anavi ;avyaH
manIS;iZaH r;AjAnam asy;a
;azmaBiH dy;uBiH h;iraZyavantam
;indrasya janit;A ut;a
svarv;idaH pravqZv;antaH aBiy;ujaH
pipy;uSIm ;iSam v;arDa
y;at sv:arZaram pr;azastaye
devav;ItamaH ;A s;Uryam
asqgran sah;asram enAH
jy;otiH ajIjanat kqSZ;A
v;qTA et;e pUt;AH
svarv;ide B;uvanAni praTanta
s;AnO ;avye yaz;astaraH
avyata t;ava ah;am
v;izvA c;akSAZaH arSati
n;a j;AgqviH ;aCa
dr;oZAni DAvati eS;a
r;etasA sacate payov;qDA
;ati s;etum durAvy:am
v;i sya graTit;am
r;asaH m;adaH rAjan
am;utaH it;aH ca
Bara ary;aH ;adAzuSaH
s;a Im aB;i
avasy;uvaH g;iraH zumBanti
amqtatv;Aya GoS;ayaH y;ena
bqh;at gaBIr;am t;ava
dev;An qtAv;qDaH s;omaH
r;akSAMsi devay;uH y;at
kr;Ixan asarat v;qSA
ut;a dev;ahUtiBiH n;qBiH
pit;araH m;ama sT;ana
punAn;AH t;AH Im
samudr;am nady:aH v;i
amitrah;A varivov;it hav;iSmAn
svaDvar;aH s;omaH dev;AnAm
z;uSmeZa bADate v;i
hinota vAj;inam Aviz;an
;indrAya tozase dev;An
s;inDuH pqTiv;I ut;a
BuriS;Aw ayoji mah;aH
aBarat t;am ganDarv;AH
duSw;aram s;omam pav;itre
akSarat s;omaH dev;eByaH
m;adAya B;UrZaye v;qSan
aps;u draps;am vAvqDAn;am
mahiS;aH n;a z;qVge
p;ari priy;A Buvat
duhuH v;izvA v;asUni
s;eDan r;akSAMsi ;apa
v;AjasAtO nqS;ahye arazm;AnaH
s;arvam s;a pUt;am
D;armaZA pr;a hinvAn;aH
u ty;e avIvazan
y;atra mumucm;ahe ;A
jah;i r;akSAMsi sukrato
rAz;im p;ari yAsi
punAn;aH indriy;Aya D;Ayase
tv;am samudr;iyAH ap;aH
dqX;A v;i ;ojasA
naH ;indrAya y;ajyave
qtv;ijaH dev;AH Adity;AH
viGn;an ;aDi sn;unA
carSaZIs;ahe s;asniH y;aH
n;a zuBr;aH tanv:am
Az;iram punAn;aH dev;avItaye
D;armaBiH ;indrasya saKy;am
manIS;iBiH s;omaH v;ipreBiH
;asireZa mqjy;ate pit;A
qt;asya g;arBaH n;ihitaH
s;amanA jigAti s;a
pqSW;eSu ;A Iraya
soma saMy;atam pipy;uSIm
asy;a pIt;A svarv;idaH
v;Ajam indo ev;a
sapt;a s;inDavaH praz;iSam
ap;aH ur;um naH
uttam;Ayyam tv;am soma
m;aDoH D;ArABiH ;ojasA
pav;itram akramIt vAj;I
cit atr;iZam sAhv;An
tvA zat;am can;a
Den;avaH vAvazAn;AH s;omam
k;Ucit sat;IH Urv;e
svAyuD;aH mad;intamaH p;avasva
D;AmaBiH ;agne d;akSEH
sv:arcanAH ;indrAya soma
ukS;aZam hiraZyapAv;AH paz;um
t;qSZA s;am arIta
;indum p;ari y;at
veda v;asUnAm m;artasya
;indavaH sut;AH qt;asya
s;adane cam;USu ;upa
naH aj;AzvaH pUS;A
vy:omani catv;Ari any;A
;oSaDISu ;A dev;AnAm
Den;avaH ;agman qt;asya
s;am tr;I pav;itrA
t;asmin m;Am Dehi
;asamaSwakAvyaH v;qSA iva
s;Uryasya bqhat;aH bqh;an
;A pavasva pUy;amAnaH
s;a m;aDvaH ;A
sah;asram ;qkvA paT;iBiH
v;aruZaH saj;oSasaH b;qhasp;atiH
pavasva sahasr;iZaH pr;a
v;arma v;i gAhate
asadat n;i asm;e
mAsva bqhat;IH rev;atIH
p;avasva m;aDumattamaH qt;asya
mah;Amahivratam m;adam zat;am
;A vAj;I akramIt
suvAn;aH avy;ayam r;aTe
;aDa priy;am tr;IZi
Bavanti r;antayaH juS;anta
v;arZam aB;i vAsayAmasi
supr;aketaH aB;i akramIt
vqSw;im div;aH pavasva
B;UrZayaH eS;a z;qVgAZi
dev;apsarastamaH s;aKA iva
;A tiSWati vqSaB;aH
m;adacyutaH D;ArA y;aH
pr;a hinvAn;aH qt;am
am;qtam v;i jAyate
D;ArAm ;anu kSara
m;aDumAn acikradat ;indrasya
sukr;atuH kav;iH y;aH
p;ari D;AmAni y;Ani
somy;am m;aDu urv;I
;A ;avizat eS;a
asi soma jy;eSWaH
pavasva sahasr;iZam ray;im
tanvate pav;itram soma
naH ;A pavasva
am;qtAya m;aDvaH r;asam
s;ana jy;otiH s;ana
indo zatagv;inam g;avAm
viD;Are z;akmanA p;ayaH
suva ;Urjam ;iSam
v;izvAni durit;A tara
asya pavIt;Aram Az;avaH
dev;avItaye ;indo D;ArABiH
ket;avaH vyAnaz;iH pavase
matsar;intamaH cam;USu ;A
;A s;omaH yAti
B;uvanasya r;AjA v;qSA
tv;aSwAram agraj;Am gop;Am
;aCa samudr;am Az;avaH
upast;araZam camv:oH naBasm;ayam
pIp;ayat Atm;A yajY;asya
pavamAna DAvati s;a
v;anasp;atiH DIn;Am ant;ar
gaCantu v;aruZaH saj;oSasaH
te v;aruZasya vrat;Ani
dev;aH raTaryati p;avamAnaH
sv;AdiSWaH m;aDumAn qt;AvA
d;aDAti r;atnam svaD;ayoH
Gqt;am v;asAnaH p;ari
tasTima ;indrAya indo
arSati aB;i v;AZIH
n;ABA n;ABim naH
Urm;A v;i ;akSarat
uz;antam t;am marmqjAn;am
dev;atAte indo p;ari
r;aTyAsaH y;aTA p;qTak
tvac;i pr;a zukr;AsaH
asya zuSm;iZaH r;ase
v;asUni dev;EH dyAvApqTivI
praB;uH g;AtrAZi p;ari
punAn;aH Urm;iZA ;avyaH
;aDi viSw;api manIS;iZaH
;induH ;indrasya niSkqt;am
aB;i s;omAsaH Ay;avaH
;agman qt;asya y;onim
div;aH suparZ;aH avyaT;iH
naH pariSicy;amAnAH kS;ayam
samary;e kqD;i suSWAn;e
sunvAn;asya ;anDasaH m;artaH
b;ADate p;ari ;arAtIH
;aruSIBiH v;ayaH daDe
iva yAti s;amaneSu
dyum;An asi v;qSA
kr;Ixan p;avamAnaH akSAr
matsar;am eS;a kav;iH
s;a naH jy;otIMSi
;indrAya matsar;am asy;a
n;a pavate m;aDu
sAnas;iH ;indrasya soma
s;omaH akSAr m;adeSu
jAm;ayaH p;atim mah;Am
;atra v;AtaH n;a
k;arat v;izvAni dr;aviZAni
v;izO s;a marmqjAn;aH
Aviz;an ;indrasya soma
;anDasaH div;i s;at
ukS;aZam giriSW;Am t;am
D;Ama mahiS;aH s;iSAsan
vIt;I arSa c;aniSWayA
;adriBiH c;itAnAH g;oH
s;iSAsan vAjas;AH ;qSiH
m;atsi mitr;Av;aruZA pUy;amAnaH
m;adyam m;adam samudr;asya
pit;aram ;A vivAsati
enAH kav;ayaH mqjanti
vqSaB;aH vqSAy;ate asy;a
aB;i mAt;araH z;izum
jam;adagninA p;avasva vAc;aH
pr;a suvAn;aH akSAr
s;omaH hqd;e pavate
pr;a te ;AzvinIH
soma p;Atave vqtraGn;e
v;qSA deva v;qSavrataH
soma pinvase hinvAn;aH
;indraH p;ibAt y;asya
rayIZ;Am qt;am Barat
asm;e v;asUni DAraya
Diy;A jUt;AH asqkSata
asya z;akmaBiH asm;aByam
hiraZyay;uH ;induH satrAj;it
suv;IraH aBizastip;AH ;indrAya
v;anasp;atim pavamAna m;aDvA
D;uram n;a y;Amani
s;am mAt;qBiH n;a
h;ariH sqjAn;aH paTy:Am
r;aTAH iva daDanvir;e
z;akmanA p;ayaH B;uvat
tvA mqjanti Ay;avaH
s;inDavaH Gn;antaH vqtr;AZi
p;avamAnam d;aza kS;ipaH
indo mar;utvate p;avasva
v;ipram DIt;iBiH ;A
s;am agr;uvaH ;avye
n;a takt;aH arSati
kS;ipaH mqjanti p;ari
anUp;e g;omAn g;oBiH
t;at y;atra r;aZanti
;ati pav;itram soma
;iyakSantaH tv;otayaH ;indo
arSasi aB;i dev;An
viv;evidat aBivr;ajan ;akSitam
n;a mitr;aH dakS;AyyaH
h;anti r;akSaH b;ADate
viz;e asy;E ;ajItim
navante adr;uhaH priy;am
v;iprAH avasy;avaH v;qSA
y;AH ;ekam ;akSi
veD;asaH ;avyaH v;Are
iva daDanvir;e g;aBastyoH
gqBZIta manT;inA g;oBiH
suv;Iryam ray;im soma
pav;itram D;ArayA sut;aH
;adabDaH v;aruZaH hur;uk
;aTa dev;AnAm uB;ayasya
;indavaH s;omAH ;indrAya
r;atnam iCati y;adi
samudr;am ukTy:am p;avamAnaH
mah;e dyumn;Aya z;izum
eS;a pratn;ena j;anmanA
DAvati D;ArA sut;asya
;A kal;azam m;aDumAn
devAvy:am m;adam aB;i
vikS;u sIdati g;aCan
sIdasi aB;i navante
kany:Asu naH vAc;aH
iva tm;an pUS;A
t;akSat y;adi m;anasaH
s;a pratnav;at n;avyase
nimn;am aB;i vAj;I
n;a pakv;am DUnavat
Im agman ;qSayaH
;aviBiH s;inDuBiH v;qSA
azv;inA t;e naH
p;ari srava kAr;uH
marmqjAn;aH ;aviBiH s;inDuBiH
v;asumat h;iraZyavat vay;am
asvaran qt;asya y;onA
soma pavamAna niZy;e
punAn;aH ;aviBiH p;ari
pratn;ena j;anmanA dev;aH
doh;anAH anUSata ;aDi
n;iH aDukSata ;indram
zr;avase naH maG;onaH
sv;AhAkqtim p;avamAnasya ;A
qt;EH ;avarData s;a
p;ari srava ;qSe
s;omaH v;astrA raBas;Ani
im;e r;odasI mah;I
avarData mandAn;aH ;ut
duduhre ;ahrayaH p;ayaH
;agre v;aruZasya mAy;ayA
vicakSaZ;aH ;avyaH v;Are
iSyasi p;avamAna v;iDarmaZi
s;IdantaH van;uSaH yaTA
punAn;aH ;ati gAhate
et;e zukr;AsaH Danvanti
I mqjanti Ay;avaH
apt;uram rajast;uram vanakrakS;am
kave p;avasva soma
pUy;amAnaH s;omaH mIXv;An
avIvqDan pav;itravantaH p;ari
pav;itraraTaH v;Ajam ;A
asqgram ;indavaH Gn;antaH
Im hinvanti ap;asaH
vqSaB;aH k;anikradat s;a
tv;am kav;iH m;aDu
kakS;Ivate zat;ahimAya g;onAm
aB;Itya s;a pavasva
v;AjeBiH ;arSati m;adeSu
zrIZ;an ugr;aH riZ;an
vipazc;it kr;andan eti
yAti svaD;ayA d;Evyam
dev;An m;atsi mah;Am
p;ArTivA p;avantAm ;A
u sy;a puruvrat;aH
daDiSe s;a mAmqje
gov;it pavasva vasuv;it
viroc;ayan ay;am s;a
z;am j;anAya z;am
jr;ayaH n;i z;aryAZi
t;antavaH v;i asTiran
indrap;AtamaH y;am g;AvaH
kavIy;an vraj;am n;a
p;ariSkqtaH v;AjAn aB;i
s;aKA s;aKyuH n;a
pavasva p;avasva soma
v;aMsu kal;azeSu sIdasi
dev;An ;iyakSate aB;i
id;am v;izvam pavamAna
mah;e v;AjAya zr;avase
vIr;avat v;Ajam g;omantam
g;omat naH indo
yat;aH n;qBiH s;am
qtAy;antIH aB;i vAvazre
prav;Ace ap;Am iva
vAy;um asqkSata gr;AvZA
p;avasva devam;AdanaH v;icarSaZiH
;avyam hitv;I vavr;im
pitr;oH apIcy:am n;Ama
z;uSmam uttam;am ;induH
Im aB;i prav;at
arSati g;omat naH
vanAmahe s;a naH
svarv;idam BakSIm;ahi praj;Am
g;omat naH soma
t;e naH p;UrvAsaH
ha y;am cakqS;e
jy;otiH ;induH m;atsi
g;omat y;avamat suv;Iryam
kqt;Ani ;it asya
;aTa ;A Bara
zuBr;am ;anDaH dev;avAtam
;A huve ;induH
v;icarSaZiH v;izvA D;AmAni
y;aH D;ArayA m;aDumAn
z;qVgAZi d;oDuvat z;izIte
;indo s;aKAyam ;A
;asarji skamB;aH div;aH
syAma pr;a senAn;IH
nam;ayan vaDasn;EH p;ari
p;uraH rurukS;aZim ;ataH
p;avamAnaH asr;iDam y;A
naH en;A pavay;A
BrAjase d;ivam iSZ;an
div;aH p;ari zyen;aH
p;avamAna v;iDarmaZi ;aTa
baBr;ave n;u sv;atavase
D;AmAni Aviz;an eS;a
soma j;AgqviH ;avyaH
pr;a gAyata suSvAZ;am
Dar;uZaH sv:AtataH ;ApUrZaH
suk;qttamAH m;aDunaH BakS;am
vIr;avat y;azaH ay;A
tiSWati punAn;aH B;uvanA
d;akSam ut;a kr;atum
zr;iyam v;ayaH jarit;qByaH
hit;aH suvAn;aH yAti
mah;e B;arAya kAr;iZaH
mandr;asya rUp;am vividuH
vid;e y;at Asu
Ad;edizAnaH zaryah;A iva
t;at n;u saty;am
vay;am te asy;a
n;a sapt;a DAt;qBiH
;adriBiH ;indo ;indrAya
;aCa barh;iH razan;ABiH
s;inDoH iva pravaZ;e
kqZute nirZ;ijam t;anA
te ruruhuH s;Anavi
draps;am vAvqDAn;am samudr;e
ut;a zr;avaH tv;Am
aB;i Im qt;asya
s;omaH sut;aH D;ArayA
n;a k;am cit
s;aKiByaH ;A s;omaH
n;a v;oXA raG;uvartaniH
;apa vraj;am div;aH
Den;avaH h;ariH eti
niSkqt;am eS;a pur;u
;A hinvire m;anasA
dy;avi DarZas;im B;UriDAyasam
puroy;AvAnam ;A huve
ray;im vIr;avatIm ;iSam
aruS;aH Bava sUpasT;ABiH
suSWAn;e r;odasI punAn;aH
v;Acam jan;aya p;uraMDim
kSum;at v;Ajavat m;aDumat
s;omaH v;izvasya B;uvanasya
camv:oH sut;aH k;ArSman
arSa suv;Iryam urv;Im
aB;i D;Ama zukr;aH
;aganma b;iBrataH n;amaH
s;omAH asqgram ;indavaH
mahiS;am t;am s;Uryasya
te z;uSmAsaH Irate
s;Uram ;usrayaH p;avamAnam
giriSW;AH ;asreDan t;am
sut;aH sv;adanti g;AvaH
naH punAn;aH ;A
yamy:A saMyat;I m;adaH
mah;aH div;aH ap;Am
;AyuH prAt;ar makS;u
j;anmane svAd;uH ;indrAya
sut;aH vyAnaz;iH p;avamAnaH
arSasi samudr;aH soma
iva d;ohate m;adeSu
har;itaH vqSw;im ;aCa
sut;AH ;indrAya vajr;iZe
B;UmanaH div;aH p;ari
v;izvA v;asu h;astayoH
sut;e cit tvA
pIt;aye madacy;ut kSeti
n;ikAmAH aDvary;avaH raTir;AsaH
ras;inaH r;asAH punAn;aH
v;Are punanti DarZas;im
s;omasya te pavate
acikradat trit;asya n;Ama
svarS;AH sah;asraZITaH padav;IH
v;i DAvasi s;UraH
haryat;aH kav;iH ;atyaH
sv:ar g;AH asm;aByam
p;ibaDyE ev;a naH
p;oSam sv;azvyam v;aha
z;arma m;ahi zr;avaH
gotr;am ;aVgiroByaH avqZoH
kqpanta DIt;ayaH dev;AnAm
ray;im dadAtu vIr;avantam
Ad;ize zukr;AH pavaDvam
pur;u DiyAyate bqhat;e
ant;arikSe v;qSA h;ariH
;indrAya v;iSZave svAd;uH
yanti saMy;ataH qt;asya
vayoDaH v;asave s;u
vAj;I D;uram n;a
kqZute nad;ISu ;A
viza bqhat;A r;aveZa
m;aDumantaH ;indavaH mad;intamAsaH
kal;aze devayUn;Am asy;a
D;ArayA sut;aH aB;i
;aCa ;indrasya vAy;oH
p;atim kal;aze g;AvaH
vqSw;ayaH agn;eH iva
zr;iyaH z;UraH n;a
;aDi tozate punAn;aH
m;aDumattamam kav;im mqjanti
j;animAni ;adButaH gqBZ;Ati
p;ayasA iva Den;avaH
v;icarSaZiH zumB;anti v;ipram
v;izvam pavamAna te
pUrvy;aH Ay;uH pavate
haryat;am mqjanti zumB;anti
;ajanti v;ahnim s;adanAni
Anaze aBiSwik;qt v;icarSaZiH
;ava ;ajuSwAn viDyati
pariD;In ;apa UrZu
aBik;anikradat g;AH nad;ayan
sah;asrapAjasaH gqZAn;AH dev;avItaye
dyum;at indo suv;Iryam
kav;iH p;avasva s;UryaH
;iSam ;Urjam pavamAna
ucc;A te jAt;am
s;a punAtu naH
jajYatuH g;uhA hit;am
B;uvanA kave mahimn;e
p;ariSkqtAsaH ;indavaH y;oSA
up;asTe ;A y;ena
zr;avase sumaVg;alaH praty;aV
samudr;am iva s;inDavaH
Urm;iZA ;avyaH v;Aram
;indavaH y;oSA iva
vayoD;AH s;a pavasva
;indo ;indraH ;iti
g;aBastyoH sv:ar s;iSAsan
s;u pr;a Danva
kr;Ixantam mimate n;a
hinvAn;aH het;qBiH yat;aH
v;qSA indo dyumn;avattamaH
p;anipnatam s;a s;Uryasya
dev;An sv;ena r;asena
darzat;AsaH jigatn;avaH Druv;AH
ap;aH ;ayukta s;UraH
caranti m;Am ;ava
avasy;avaH v;qSA k;anikrat
s;am ca ;A
saMz;izvarIH iva y;aH
div;aH kav;iH v;ayAMsi
As;adam aps;u tvA
div;aH c;Arum sukqty;ayA
vrat;Ani n;a AD;qSe
pIy;USam uttam;am s;omam
y;Amani-yAmani ;A BakSat
iva Den;avaH s;a
kav;iH aBavaH devav;ItamaH
;iSam asm;aByam aB;itaH
candr;AZi gqZat;e v;asUni
ukS;A biBarti B;uvanAni
;iSaH aB;i s;omAsaH
t;Urvaye p;avante v;AjasAtaye
BAsi am;qtasya D;Ama
vyAnaz;iH p;avamAnaH v;i
parj;anyaH pit;A mahiS;asya
n;qBiH yemAn;aH ;adriBiH
ket;avaH ;amqtyavaH ;adAByAsaH
m;aDumattamaH sah;asram yAhi
;ava pariD;In ;ati
r;oruvat aB;i p;UrvAH
ary;aH ;A dyumn;Ani
arep;asaH svADy:aH svarv;idaH
Ay;avaH p;avante m;adyam
naH dev;eBiH pavamAna
t;avasvAn sv:arcakSAH raTir;aH
div;aH n;Ake m;aDujihvAH
niSkqt;am upapr;utam kqZute
v;asUni yAhi asmay;uH
Barat s;am apsuj;it
asya s;a y;atra
arSati aMz;um rihanti
asqkSata y;e tvA
soma dev;avItaye s;inDuH
;A mah;I r;odasI
punAn;aH Ay;uSu stan;ayan
m;aDu priy;am pratn;am
sut;aH s;omaH j;Etrasya
pinvAn;AH sv;asare n;a
naH pavasva z;am
;indrAya ;indum punItana
v;Ajasya Bajate mahADan;am
aB;i kal;azAn asqgran
s;omAH pavante ;indavaH
ay;am s;omaH indra
;At Im Ayan
praj;AH B;uvanasya r;AjA
priy;am h;arim hinvanti
punIt;ana s;omam ;indrAya
s;anti D;UrvaZe r;akSa
y;ena dr;aviZam azn;avAma
iSZ;an s;Uryam n;a
n;a Bur;ijoH aheSata
v;i rAjati ;adriBiH
u sah;asraBarZasam ;ati
eS;a dev;aH vip;A
t;anA punAn;aH Ay;uSu
;induH ;atyaH n;a
dev;eByaH m;aDumattamaH sut;aH
v;acaH ;udyatam Bqt;im
mah;I im;am naH
g;aBastyoH j;uSwaH ;indrAya
sukqty;ayA Imahe s;aMvqktaDqSZum
;agne p;avasva sv;apAH
eS;a s;UryeZa hAsate
maMhate p;avasva devav;IH
v;qSaZam Barat s;am
sv;asAraH ;aditeH up;asTe
rajast;uram gop;Am qt;asya
s;omaH punAn;aH kal;azAn
indo p;avamAnaH manIS;I
m;adAya ap;Am up;asTe
kqSw;ayaH ;A naH
y;aH tasT;O B;uvanAni
sug;A tok;Aya vAj;inaH
n;AnAsUryAH sapt;a h;otAraH
;upa razm;im tisr;aH
p;aYca sv;ayazasam sv;asAraH
y;aH dev;An v;izvAn
B;agaH ;A y;ena
s;a naH pavasva
pIt;aye m;adam sv;AdiSWam
k;oze m;aDumAn acikradat
arAvIt ;aDi tv;iSIH
pIt;aye sut;aH h;ariH
v;iSvak durit;Ani viGn;an
sacante pav;itram te
dev;IH ;upa yanti
dyum;antam z;uSmam uttam;am
manIS;iZam p;Antam ;A
r;asam et;e D;AmAni
matsar;aH indriy;aH r;asaH
nAnAn;am v;E u
n;araH DIB;iH v;iprAH
rurukS;aZim ;ataH tvA
;indrAya m;aDumattamaH ;asqgran
praTam;aH manIS;I d;aza
B;qgavaH ;A jAm;iH
B;ava v;AjAnAm p;atiH
aB;i dev;avItim ;indrAya
zyen;aH zakun;aH viB;qtvA
p;avamAna suv;Iryam ray;im
pavate D;ArayA sut;aH
mAt;araH ;indram s;omasya
y;at B;avaTaH ;anapacyutA
g;aBastyoH B;arAsaH kAr;iZAm
Aj;im y;aTA hit;am
d;akSiZAvate dev;Aya sadanAs;ade
g;AH nad;ayan eti
m;adAya j;ohuvat y;asya
s;omAsaH Az;avaH r;aTAH
acikradat p;avamAnaH hiraZyay;uH
y;ajyave g;AH kqZvAn;aH
;it p;ayaH pav;itre
s;aH arSa ;indrAya
s;am u priy;AH
;arSati sv:ar vAj;I
kave t;ava im;AH
yAti c;ekitat s;am
vagvan;um eS;a v;iprEH
pavamAna pIt;aye aB;i
v;izvAni k;AvyA ;anu
;A v;areZyam ;A
m;aDumattamam n;araH sah;asraDAram
srava ;apa ;amIvA
k;qtvasu y;e m;aDye
m;adeSu ;A grAB;am
durit;A ;ati pAraya
naH uB;AByAm deva
dev;avItO s;am s;inDuBiH
g;omAn g;oBiH akSAr
sADaya paT;aH pratnav;at
m;artAya B;USan d;akSAya
parAv;ataH n;a s;Ama
Asate h;otAraH sapt;ajAmayaH
kal;azAn ;A viveza
n;a vqSw;ayaH D;ArAH
v;i aYjate s;am
;arSan k;anikradat camv:oH
dv;eSAMsi saDry:ak r;akSa
pr;a asya D;ArAH
SaSw;im sah;asrA nEgut;aH
;apa durg;ahAZi svAyuD;aH
ArjIk;eSu k;qtvasu y;e
pavamAna aB;i arSasi
;adrisaMhatam priy;am ;indrasya
dv;iSaH ;indo s;aKAyam
dUty:am tv;am ;indrAya
tanv:am mqjAn;aH ;atyaH
suv;IraH asi soma
kal;azAn aB;i mIX;e
;A pyAyasva s;am
zr;avaH bqh;at s;a
punAn;AH ;indram Azata
D;ArAH dev;ajAtAH asqgran
suv;Iryam ;A pavasva
n;qBiH DUt;aH vicakSaZ;aH
;iyarti v;Acam rayiS;Aw
payov;qDA t;am Imahe
;ava mehanti p;eravaH
kr;Ixantam ;atyavim t;am
s;UryeZa rocate g;iraH
y;ena n;avagvaH daDy;aV
;A viza pr;a
indo p;ArTivam ray;im
;asqgram indo Ut;aye
;induH m;atsi vAy;um
punAn;aH h;Ardi codaya
suvAn;aH giriSW;AH pav;itre
zravasy;avaH n;a pqtan;AjaH
indra t;ava vrat;e
manIS;AH aB;i anUSata
pr;ati DIyate mat;iH
t;ava vay;am s;aKAyaH
st;avE ;abiByuSA hqd;A
samasya k;asya cit
k;anikradat aB;i br;ahmIH
zukr;Am vayanti ;asurAya
dev;Aya D;ArayA ;indrAya
taranti duSk;qtaH sah;asraDAre
mah;IH ;anu ;ApaH
h;otA Badr;A v;astrA
;arAvA qB;uH n;a
p;avamAna Diy;A hit;aH
sah;asram yAhi paT;iBiH
ps;arase indrap;AnaH kqZv;an
r;asam saDam;Ade y;AH
h;otA iva s;adane
G;qSvaye ulokakqtn;um Imahe
azizrayuH ;A naH
p;Urvam ;agan ;indram
pqtany;ati t;am hinvanti
u sah;asraBarZasam v;Acam
ray;im t;uYjAnaH aB;i
s;omaH dugD;ABiH akSAr
g;oBiH ;uttaraH s;Idan
vizv;ataH p;ari it;aH
t;uByam DAvanti Den;avaH
satr;AcA m;anasA puruSwut;aH
soma jaW;are s;am
druS;at camv:oH ;A
n;araH s;omam vizv;AcyA
d;aDAta k;etam Ad;ize
arSa p;ari soma
te m;adAH Ahan;asaH
v;qSA nqmZ;A d;aDAnaH
v;iDarmaZi ;aTa naH
kal;aze sut;aH zyen;aH
vqSan v;qSA ;it
v;i gAhate ap;Am
iva razm;ayaH drAvayitn;avaH
bqhat;IH ;iSaH dAH
havate div;aH p;ari
asm;e v;AjaH soma
p;ari v;izvA rUp;A
y;aH p;aYca carSaZ;IH
vyata y;adi dev;asya
manIS;iZaH s;a punAn;aH
u naH D;iyaH
;A ;indrasya h;Ardi
pratir;an naH ;AyuH
;A pavasva madintama
v;asyasaH kqDi tv;am
mUrD;Anam g;AvaH p;ayasA
aps;u h;otA iva
ty;at paZIn;Am vidaH
n;a d;adqzAnaH usr;iyaH
y;adi viv;asvataH D;iyaH
;ati zrit;I tirazc;atA
v;Ar ;it maZx;UkaH
v;asUni mAMzcatv;e indo
DAvati rakSoh;A v;Aram
s;am adB;iH eS;a
maMhay;adrayiH ;ut te
mAt;uH ;upa sarji
;iSaH et;am u
vAj;I s;am mAt;qBiH
svaD;AH ;indreZa yAhi
kave z;uciH Diy;A
aB;i arSati suSwut;im
n;a h;i tv;am
duHS;ahAsaH van;uSA bqh;antaH
kS;EtaH asm;e aB;i
riSw;am rut;am BiS;ak
p;avamAna ruc;A-rucA dev;aH
dev;aH dev;eBiH s;am
z;am naH kS;etram
iva r;AjAnaH n;a
p;ari vqtr;AZi sakS;aZiH
dUZ;AzaH vanuSyat;A aB;i
m;adaH s;omaH pav;itre
vanuSyat;A aB;i arSa
asi vizv;ataH p;avamAna
asi ;A kal;azeSu
pr;azastiBiH s;omAsaH g;oBiH
;upa sarji ;UDani
gAhate aB;i dr;oZA
aheSata d;aza sv;asAraH
mAt;araH punAn;aH indo
v;Ajam g;omantam ;invati
suvAn;aH h;ariH aMz;uH
asi p;ari y;aH
s;Uryam dqz;aye rirIhi
;qSe mantrak;qtAm st;omEH
tv;am soma paZ;iByaH
vind;ati m;Am ih;a
ut;a zr;avaH ;anu
v;izvAni vqtr;A jaG;Ana
asya v;izve dev;AsaH
pur;UZi baBro n;i
v;iprasya D;ArayA kav;iH
s;omaH p;ari kr;atunA
;A minan y;at
v;ipraH puraet;A j;anAnAm
pad;am n;avIyaH akramuH
;indrAya pIt;aye iS;e
pUrv;aTA ;indum ;indrAya
gqBZ;anti y;oSaZaH d;aza
v;AjasAtaye v;i v;Aram
sAk;am m;adena gaCati
D;Ama z;uciH tv;am
mah;e kS;ayAya s;a
aMz;um pariy;antam qgm;iyam
Urm;A m;aDumantam pav;itre
v;qSZyam n;i z;uSmam
zuSm;I z;arDaH n;a
;indram te r;asaH
qt;asya d;IDitim pr;a
tqt;Iyam ;aDi rocan;e
mat;ayaH p;anipnatam hiraZy;ayam
s;a v;izvA B;uvanA
arvAv;ati sunvir;e y;e
s;omasya p;avamAnasya Urm;ayaH
ruc;e Bava s;anemi
z;izum jajYAn;am h;arim
j;ayema tv;ayA D;anaM-Danam
ap;aH v;asAnam ;anDasA
dev;eByaH sut;aH v;izvA
Gqt;am n;a pavate
asadat punAn;aH s;am
aB;i ArSey;am jamadagniv;at
Dar;uZaH pqTivy;AH v;izvAH
n;a vikS;u sIdati
indavaH punAn;AH DAvata
avar;oDanam div;aH y;atra
t;eBiH soma aB;i
z;izAnaH h;ariZI vicakSaZ;aH
DAmaD;AH asi tv;am
viB;qtvA govind;uH draps;aH
pavasva mah;Im ;iSam
;udyataH m;adaH p;ari
dadAtu vIr;avantam ugr;am
ca D;armaBiH ;indrasya
apIcy:am mad;intamaH matsar;aH
n;a D;anvan pr;ati
aB;i y;onim ;ayohatam
y;aH mah;A k;armAZi
ISati ;A I
vAraZ;am m;aDu aB;i
zv;Anam znaTiSwana s;aKAyaH
bqhanmate p;ari priy;eZa
zukr;AsaH vayoj;uvaH hinvAn;AsaH
v;qSA pav;itre ;aDi
s;a sunve y;aH
m;adaH gir;A jAt;aH
p;atiH v;izvasya B;UmanaH
mqjanti p;ari g;oBiH
v;i DAvati m;aDoH
;iti bruv;an p;ari
pavante Urm;ayaH vidAn;AH
p;avamAna m;ahi ;arZaH
v;i ;A asarat
zr;avaH v;asUni s;am
u azvas;AH asi
mahADan;am svAyuD;aH sot;qBiH
prad;izam yAti c;ekitat
;qSayaH sapt;a v;iprAH
