eSAm iSir;AsaH adr;uhaH
maKasyate v;izvasya ;IzAnaH
punAn;aH avy;aye v;Are
s;inDUn v;i ratnaD;AH
vAvazAn;aH raTirAy;atAm uzat;I
vay;am pav;itram aByundat;aH
tozate n;i tozate
saDry:ak r;akSa s;u
s;a Band;anAH ;ut
vay;am v;izvA D;anAni
yAti niSkqt;am r;AjA
v;i ;adriBiH c;itAnAH
samudr;AsaH n;a s;avanAni
ut;a sv;asyAH ;arAtyAH
qZvanti kAr;avaH v;qSZaH
tqp;alam many;um ;aCa
soma vIr;avat ;azvAvat
vqZImahe p;Antam ;A
;ava cakradaH v;ane
Azata ut;a id;am
paT;aH pratnav;at rocaya
kav;im qt;asya y;onA
s;acA kav;eH ;apatyam
asi tv;am v;ipraH
m;adaH mat;iBiH p;ariSkqtaH
n;araH sah;asraDAram duhate
enam ;ahrutAH im;AH
m;A te r;asasya
s;omam v;izvasya B;uvanasya
asm;aByam soma gAtuv;it
v;qSA z;oZaH aBik;anikradat
p;avamAna k;anikradat v;izvAH
h;arI r;AjA iva
asm;e zr;avAMsi DAraya
n;a v;i sya
ras;A iva viSw;apam
soma pavamAna dyumn;Ani
vayask;qtaH et;e s;omAH
kav;ayaH n;a g;qDrAH
n;a v;Ajam saniSy;an
p;avamAnaH nqc;akSAH r;AjA
Az;iram s;omaH hqd;e
d;aza D;Irasya DIt;ayaH
n;a pqtan;AjaH ;atyAH
sabard;uGaH hinvAn;aH m;AnuSA
dev;avItO ;A indo
y;onA v;aneSu ;A
pavate janit;A matIn;Am
iS;aH p;atim pqSW;A
nikt;EH s;a naH
cakqS;e tv;am vavqS;e
qt;ena dev;An havate
rUp;A aB;i arSasi
;upa mAsi z;azvataH
p;atiH p;avamAnaH v;i
c;Aru matsar;aH p;avasva
c;atasraH n;ABaH n;ihitAH
Iyate ;ut ;AtEH
y;aTA hit;am asm;e
dr;aviZam azn;avAma aB;i
azAsata zriy;e ay;am
soma r;aMhyA ;indram
;avizat eS;a sy;a
pav;itre arSati tv;am
cam;USu sIdati paz;O
D;anyAya Danvasi ;iSam
n;ABA param;aH y;aH
sut;AH ;anu sv;am
