nit;ozanam vqSaB;am
n;akiH dev;eBiH
asmin samudr;e
u n;UtanAsaH
r;akSAMsi sukrato
daB;Itaye c;umurim
param;A y;A
Asu c;ekite
dy;Un dqMh;eTe
vasto usr;AH
tuviz;uSmA qt;ena
tigm;ahetI suz;evO
;asti B;Uma
s;aKA pUS;aZam
y;A v;izvAsAm
dAti v;Ajam
v;Ajam agne
y;uDyantam vqSaB;am
;A uttar;At
adAt vqc;IvataH
cakr;am n;a
sv:arvAn qDIm;ahi
divy;asya r;AjA
y;at v;i
y;An ca
sam;advA tuvimrakS;aH
Bram;aH te
samudr;e n;a
v;EzvAnara pr;a
anamasyan BiyAn;AH
j;anAH vqYj;e
t;arutraH bqh;adBiH
c;AruH agn;aye
kqt;am BUt
dUt;aH agn;im
s;atpatI hat;aH
dAz;uSe v;i
n;a t;uByam
p;AjaH rakS;asaH
aB;i vakSi
r;okaH anen;aH
z;izItA= t;ejaH
m;anasA cit
qSv;am aj;aram
v;qSZyAvAn saty;aH
vakS;aZAsu jagqB;aTuH
jy;eSWatamA gIrB;iH
asm;Akam pAhi
t;amaH ajir;aH
me m;anaH
;anu gman
pitQZ;Am z;azvat
d;amUnAH h;iraZyapAZiH
amqta tv;at
ca st;omaH
ah;am t;antum
Druv;aH ;A
pr;a dev;An
sut;am y;AH
indra v;asyAn
indra n;i
dev;An s;a
barh;aZA kar
n;a zoc;iSA
;ati any;An
pr;a yakSi
agn;im IxIta
;indram ;atra
pitv;aH n;a
v;i p;iproH
s;am te
m;aDvaH ;apAH
dv;iSaH ;indrAgnI
z;atrUn aB;i
;indram cat;inam
;apazcAddaGvane n;are
d;ivodAsAya ranD;ayaH
;azvAn yuyujAn;aH
t;at s;u
pqTivy;AH ;arIramat
t;at qtuT;A
suv;IryeBiH ca
tav;asaH t;avIyAn
urugAy;am ;aBayam
ut;a Bava
;A pqTivy;AH
d;aMsaH v;i
h;aste n;a
saj;oSAH n;aptrA
viDat;e cikitvaH
agne arv;Ak
vIt;aye s;am
n;a Urm;ayaH
;indraH ;anayat
n;a agn;eH
v;izvAH ;ati
indra naH
cakr;am hiraZy;ayam
zuciSmaH kS;Am
n;araH ca
vqSaB;am vAvqDAn;am
gir;Am ;akSitotiH
v;EzvAnara y;at
naH dev;I
suvqkt;iBiH s;arasvatIm
jAm;In ;ajAmIn
pazup;AH v;AjapastyaH
tv;e puruvAra
jan;uSaH ;ayA
m;AnuSAZAm ;amartyena
DqS;at t;aM-tam
divy;asya v;ahneH
;aCa naH
hav;iH hqd;A
d;IdyAnaH div;aH
d;uvaH D;iyam
b;iBrataH y;aH
agne avqk;eBiH
Bar;advAjeSu kS;ayat
vivAset ;A
iva pavate
cit raZv;aH
sAD;u v;i
BaradvAjav;at viDat;e
qZ;aH n;a
j;arate y;at
s;ome sutapAH
y;AmaH astu
yuv;am dAz;uSe
h;arayaH vahantu
v;Ajam ;iSam
aBiy;ujaH v;iSUcIH
r;ADaso-rADasaH n;Utanasya
r;AZxyA kriyAsma
pqZanti r;ADasA
d;azoZaye kav;aye
tv;Am v;izve
qtuT;A vadAti
cit Bavati
vAm aYjantu
;apa s;A
biBiduH br;ahmaZA
s;am pUSan
m;ahi d;aMsaH
adaDuH n;u
rajast;UH vizv;acarSaZiH
daDiSe suvqkt;im
Bavatam uttam;eBiH
vizv;avArAZi puruv;AraH
;it ;anDasaH
j;AyamAnaH n;a
s;a zr;avasA
;ajma ;annam
Bujy;um v;iBiH
tav;asam sv;aYcam
aB;i t;at
yajY;ena gAt;um
juS;eTAm yajY;am
AnazyAm t;ava
v;EzvAnara v;Ajam
h;i zr;eSWA
z;uSmam n;aryam
DAH ;asya
many;oH ;ahim
vidm;anA nid;aH
r;AjA p;ArTivasya
vA yukt;AByAm
sUr;In div;i
aBizr;iyA urv;I
han pr;a
Den;um naH
agn;im darzat;am
y;at ukT;A
ant;ar n;itikti
