nit;ozanam vqSaB;am
div;aH n;a
pazv;aH pazup;AH
ant;ar v;izve
;A sOzravas;A
jihv;ABiH yaja
v;i c;armaZI
adyOt adroG;aH
dvit;A Barat;aH
s;at ;it
tIvras;utam m;adam
;Ize puruhUta
pqZeTAm ;A
pit;araH n;avagvAH
s;ahaH yajatra
v;anAni g;AH
tv;am ziv;eBiH
nAy;am ;avase
iDAn;aH st;omam
sumat;im vay;am
divy;am zAs;am
sar;aTam s;AraTaye
sam;IjamAnaH Ut;I
pUSZ;aH sumat;im
s;arvavIram zr;otA
sUn;um hav;asA
yAhi ;A
itT;A gqZ;antaH
bqhat;Im ;amqDrAm
varDa vqSaB;am
z;acIvataH te
v;izvAsAm y;at
dev;aH n;a
z;atrUn b;ADate
veDaH vizv;avArABiH
asmE ;A
vqtr;am h;aniSWaH
pUS;aZam n;a
r;odasI mitr;aH
agne Ije
;asi kSatt;A
;it u
dev;eBiH DAyi
;agne agn;iBiH
n;avyase r;akSa
sApy;am sas;antam
tan;USu BeSaj;Ani
z;uciBiH cakramAZ;A
atAn dy;Am
vetas;um d;azamAyam
asm;E gqZAn;A
p;iba y;asya
y;aH z;ipravAn
;A id;am
vIry:eZa n;qtamaH
m;AnuSaH j;anaH
v;i t;at
p;AtrA BindAn;AH
puSw;im n;a
yAhi yajY;am
t;am huvema
ajara v;anA
cit y;am
vraj;asya d;uraH
v;ajrahastam raTeSW;Am
ukT;am n;avIyaH
ur;um kqDi
;asAmi pqT;U
m;AkIm s;am
s;arasvati devan;idaH
avitr;I avatu
zat;EH apadran
;arvA reZ;ukakAwaH
gqZ;antaH mah;inasya
ava p;qtanAsu
m;anaH d;akSam
y;onim ;A
h;exaH dev;AnAm
m;anaH j;aviSWam
y;aH d;ivA
indra citr;An
;agman ut;a
aB;i s;am
v;AjaH vqtrat;Urye
;aDa tv;aSwA
;indram n;a
saKy;Aya sepuH
zucat;aH te
ca vqtr;A
mAy;AH pitv;aH
dqX;AH av;AsqjaH
anazv;aH cit
kr;atvA raT;IH
ut;a n;UtanAsaH
carSaZIn;Am ;indram
inDate y;at
vIry:am t;at
agne bqhat;A
duhAte suk;qte
DIn;Am avitr;I
vaDrimaty;AH dazasy;antA
p;ibatam zamBuvA
Ad;idezati karamB;At
dviS;aH ;aMhaH
minanti svaDAvaH
pUS;A ary;aH
neSi v;asyaH
v;edyaH c;anaH
v;Acam kIst;AsaH
kave y;aH
y;at ;eti
s;UryeZa vay;unavat
;indre v;arDAt
vart;iH y;at
supr;atIkA div;aH
rAjan ;iSaH
d;AnAya codaya
ut;a martyatr;A
indrAvaruZA mahitv;A
veD;ase s;a
yam;atuH y;amiSWA
ajury;am sahod;Am
viSZo y;at
y;aH rur;oja
aj;araH pAvak;aH
y;aH ;antaraH
urAZ;aH ;ayukta
;anayat r;itaH
bAhv;oH m;A
citr;am puruv;AjABiH
;aDi varDat
sm;addiSwIn d;aza
;ajati ;araTIH
ca ;A
;adroGavAcam mat;iBiH
uC;a divaH
tvA zruD;i
vAm pr;a
ut;a vizv;adevaH
;AGqZe pazus;ADanI
s;adasaH p;ari
van;inam n;a
s;am ajayat
vqSaB;aH etu
ap;asA iva
;upa indra
pariSv;ajat kqSZ;A
sv:ar uS;asaH
bADasva ;apa
azv;inA huve
d;art h;an
B;UmanaH ;adabDeBiH
gahi praTam;aH
dasm;avarcAH ;agne
cit p;Urve
vasuv;ittamam ;A
vqSaB;aH v;qSZyAvAn
yajY;aH s;Urye
AB;iH zuB;e
raT;IH qt;asya
Ga s;a
s;am invatAm
kS;Am m;ahi
;A p;Atram
iS;A s;a
sahod;Am suv;Iram
;asti id;A
ziznaTat pUrvy;AZi
aj;aram y;uvAnam
j;AyamAnaH param;e
paZIn;Am ;ArayA
Bar;advAje nqv;ataH
v;i m;qDaH
vivyaTuH pqtanAS;Aham
vAjay;antA t;A
ay;am h;otA
somy;asya v;izvAsAm
;aram aznuvantu
t;am gIrB;iH
t;A sUr;iH
vAy;oH am;qtam
ant;arikSam s;arasvatI
girIZ;Am taviS;eBiH
te AsAn;aH
purukS;um asm;e
rAy;aH sUno
v;ipraH jAyate
n;izitim vedy;A
d;artA p;Arye
y;antaH sumat;aye
sUr;iH ;indraH
avakarz;ayanti vqdD;asya
t;at ;apaH
me qjr;e
tur;Aya m;ArutAya
it;aH vA
vqtrat;Urye s;a
cit ;aBvam
v;izvAni ;ati
k;im asya
n;a y;A
pqkS;asya v;qSZaH
avantu pr;a
s;a deva
;anu j;oSam
n;Qn dviS;aH
mahiS;An indra
indra sAk;am
tarati sam;iDA
sut;e s;ome
purumAy;aH s;ahasvAn
ut;a kSit;iByaH
candr;ABiH gqZat;e
;akAri vAm
naH ;aTa
v;anAni ;A
p;Atram janayanta
mitrAvaruZO ;askqDoyu
sv;asuH jAr;aH
n;u v;ajrAt
z;avAMsi jah;i
;it Dehi
te azyAm
iSw;ayaH ;aram
b;aw itT;A
g;arBe mAt;uH
cakraTuH yuv;am
sv;am ;okaH
ap;Am hin;oSi
n;AnA h;i
vay;uneSu ;ahnAm
qD;advArAya agn;aye
bqh;at asury:am
Barat;aH vAj;iBiH
dy;AvApqTiv;I t;at
anayanta yajY;EH
pUSan vid;uSA
div;aH dviS;aH
dev;aH savit;A
dAt hat;A
yuyut;am s;UryAt
DAyi asy;a
aj;are B;UriretasA
;aTa te
sahasaH d;adAzat
vay;am suDy:aH
yUy;am gAvaH
p;qzniH suBv:e
;ejAn ;indra
BaraDvam y;e
t;u bAbaDe
dviS;aH ;aMhAMsi
iva z;atrUn
dqX;A ;ut
Erayat raT;ItamaH
v;asUni mah;aH
kAvy;Aya p;arA
rAy;A saj;oSAH
pUrt;am akSip;at
vAm varUTy:am
Dehi v;asUni
yukt;AsaH h;arayaH
;Urjam v;ahantIH
daDy;aV ;qSiH
te ;asti
agn;iH ;it
tv;aSwA te
GqtAv;qDA urv;I
vAm s;anti
v;i pUSan
ty;at te
m;artaH ciketati
v;iSUcIH ;indra
s;am akAri
ap;At iy;am
aB;i pr;ayAMsi
y;at p;araH
;anDasaH ;aDvaryo
;aSAXam ugr;am
dAH s;a
naH s;anutyaH
citr;An aB;i
;amitA m;imAnA
iDAn;aH v;eSi
y;uvAnam ;aSAXena
triMz;at pad;A
u v;izvA
t;Utujim ;indraH
iva pr;asitiH
im;A u
ha v;ipraH
sarv;atAtaye zv;aH
zr;otA h;avam
svaDvar;A karati
y;at ;qDak
sp;qDaH bADasva
;avase sp;arDante
r;ADasaH mah;aH
;AhutaH g;arBe
ut;a rAy;A
pqZati t;UtujAnaH
vaH sUn;um
vidaTy:am gqZ;adByaH
n;u vocam
y;A z;aMsate
gAD;am asmE
s;omArudrA v;i
z;avasA pqts;u
ant;arikSe c;aranti
samar;e ;atamAnAH
purukS;uH s;am
vahantu b;iBrataH
agn;aye dad;Aza
Bar;advAjAya sapr;aTaH
d;arSi ;ava
aps;u vay;am
t;at juSasva
pariz;ayAnam ;arZaH
jy;otiH nazate
;A j;anAya
;avqtaH ;aCa
;apyaH n;a
juhv:A v;ahniH
t;A tarema
sUno sahasaH
zoca yaviSWya
v;i p;uraH
indra ;ABiH
s;u ;apAke
n;a y;avase
v;izvam aDatta
UX;AH d;izaH
cit y;aH
DiS;aZA sAt;aye
tvA yoD;aH
ud;AvatA tv;akSasA
;indrAya br;ahma
sud;AnuH ;ava
z;ucijanmanaH uS;asaH
dev;An ca
D;akSat s;aH
indrAvaruZO ;api
r;ajAMsi ;amimIta
p;aYca j;anAH
inD;ate vqtrah;antamam
viB;AvA ;agne
n;a BIm;A
hqd;A m;anasA
somaD;AnA pr;a
d;uraH usr;iyAByaH
pr;AtardaniH kSatrazr;IH
y;at te
v;qSaZaH yujAn;AH
pratna rAjan
;indra p;iba
cit n;u
nqv;at kqZuhi
aBimAtiS;AhaH v;EzvAnara
g;AvaH ;indraH
caranti tuvimrakS;AsaH
n;a jagmuH
taviS;eBiH Urm;iBiH
ut;a kr;atum
sunvat;aH asm;Akam
m;artyaH jy;AyAn
tat;akSa qB;uH
;A vqSeTAm
BUt y;asmin
mUrD;ani vay;AH
vaH ;indram
sudAman any;at
g;oSu y;uDyan
indra s;ome
j;agataH carSaZIn;Am
;apratItaH b;qhasp;atiH
sup;atnI D;AyoBiH
;it t;uByam
mAday;aDyE uB;A
;indram y;aH
n;a KAd;inam
aBimAtiS;AhaH ;indrAviSZU
pr;a stqZIte
naH v;ihAyAH
dr;uhvaZe p;ArTivAni
v;asu stuvat;e
varDat ;indre
;A ihi
gqh;am kqZuTa
;ariSwABiH ;A
putr;aH IDe
n;apAtam tv;am
;amavatsu tasTO
mitr;Av;aruZA vAvqD;aDyE
;ati mahn;A
;amyakSi s;adma
v;aDIt ;indraH
v;i me
;indraH rAy;aH
huve j;aramAZaH
p;Arye s;uSvim
mahy;E ;indram
s;am IDe
tv;Am r;AyaH
citr;am BAnti
citr;Asu j;agatISu
n;aptrA ap;Am
t;ava t;at
yUT;A iva
m;A aG;azaMsaH
s;omam g;oqjIkam
;ut agne
indra t;uByam
ca v;oXave
j;agatISu ant;ar
paritaMsay;aDyE s;a
t;akSat anuy;Ati
g;omataH daDAti
svast;im Imahe
n;aryam s;arvavIram
sutrAtr;aH dev;agopAH
v;i paZ;eH
s;omapItaye t;am
daDate tv;otaH
et;am titirvaH
can;a t;at
jy;AyaH indra
valg;U puruhUt;A
tigm;azqVgaH n;a
br;ahmaZi zasy;amAne
;antarEH cakr;EH
asya m;ade
dev;am dev;avItaye
p;OMsyeBiH ca
m;AkIm riSat
;A aDAt
zr;eyAn cikit;uSe
naH purvaZIka
;upAvasum ady;a
y;aH pAvak;aH
n;amasA barh;iH
tv;am n;imizlaH
maG;avadByaH ca
saMy;atA bqh;at
p;ibantIH m;A
;ahnAm vEzvAnar;asya
am;itram ark;EH
sapt;aDAtuH p;aYca
zl;okaH ukT;A
tv;e v;asUni
v;qSaBiH t;ava
purup;anTAH gir;e
praj;Am v;izvasya
vqtr;AZi jaVGanat
p;atyase tv;am
ad;aH paruS;e
yoD;aH m;anyamAnaH
r;asAH ca
j;aMhaH havy;A
tvA vahantu
cit AGqZe
y;at pitr;oH
vavqtyAt s;a
vanavase ;A
ark;EH s;omArudrA
sAt;O vAvqSAZ;AH
sp;arDante r;AyaH
;anapinadDam Asu
c;akSasA s;AnUni
UhaTuH z;azvat
Urm;im ap;Am
y;at AByaH
s;Anu girIZ;Am
s;avanAya sukr;atuH
savit;Aram ;oSaDIH
s;omEH daB;Itaye
aDvar;asya iva
upast;utyA cikit;uSA
v;izaH ;ava
y;akSi ih;a
s;omeBiH pratiB;USaTa
qt;e B;Ut
BUt Apapr;uSI
ca zasy;amAnA
dqX;aH n;akSatraH
pr;a st;omAsaH
d;akSam daDase
citr;atamaH mah;Im
n;a tvA
vahantu h;arayaH
rAy;aH puruv;Irasya
agn;im aDvar;e
cak;Ara Gn;an
sanoti v;Ajam
As;A vij;ehamAnaH
triSaD;asTaH tatar;uSaH
varDatAm vqdD;amahAH
manuSv;at vqkt;abarhiSaH
dev;eBiH agne
pratim;Anam asti
mitr;aH naH
sast;aH D;unIc;umurI
trAt;A taraZe
;aDvan ;azvAsaH
BUH ;ut
id;am vAm
sarv;atAtaye ;indrA
m;arteSu any;at
z;azvat uzat;A
somy;asya r;AjA
vqtraGn;I vaSwi
am;qtasya gop;AH
s;adma s;adane
p;uraH dardarIti
vqtr;AZi jiGnate
aDr;uk ant;ar
s;a sUn;uH
sukr;atuH Gqt;ena
mahin;A m;ahivrataH
sacAvahE raT;IH
iva n;u
aBavat s;acA
n;a d;Iyan
;A y;at
tArIH d;AsIH
rirIhi urugAy;am
d;Aru D;akSat
h;i tvA
;IkSe h;i
sumeD;AH ;A
vqSan akqZoH
y;e ;ajAmayaH
kqz;am cit
r;Ajantam agn;im
s;Anum upam;At
sut;e ;it
arce AB;iH
pratnav;at naH
iCati aj;AH
sp;qDaH miTat;IH
;A t;ugram
yaja mah;aH
nqv;at vaso
savit;A hiraZy;ayA
vajrin m;ahi
DiS;aZe avartayat
yukSv;a h;i
DiSv;a v;ajram
d;ivam ;ati
nadanum;An qjIS;I
yuvase niy;utvAn
jAyate vAj;I
asmE gamBIr;eZa
;A n;iSattaH
pr;a im;e
vivAsema vqtrat;UryeSu
biBy;uSaH ;abiByat
n;avyam ;avase
kAk;ut s;ukqtA
n;amuceH maTAy;an
v;iBiH adBy;aH
any;at doh;ase
u stuhi
n;a r;AjA
agne suv;Iryam
iva ruruhuH
cit daDire
ukT;A s;acA
ap;aH s;iSAsan
iS;A hinomi
ukT;EH yajY;EH
y;at duhr;e
saDam;AdaH te
me ;A
am;itrasya vyaTaya
nazate devay;uH
st;omam yajY;am
y;asya n;u
camv:oH sut;am
zrut;Aya mah;Am
t;at panay;Ayyam
ugra pr;a
yAtam nqv;atA
;indra rAranD;i
sut;e s;acA
;agram yajY;asya
;indrAya v;qSZe
t;ABiH ;A
vizv;arUpaH ;indrAya
naH svast;im
z;ucayaH caranti
DqtavratA yuv;oH
kSayasi dasm;avarcAH
iC;Ami ;it
;adevaH v;arate
naH pqT;u
p;uraH v;i
;upa CAy;Am
m;aDu naH
kAm;inaH tv;am
m;anman ;aram
cit qSv;AH
p;azyata im;am
agn;iH veD;astamaH
sumn;am ;indrasya
r;aZe v;qSaZam
g;avyam m;ahi
p;iba s;omam
DAt vizv;AyuH
r;odasI uB;e
d;uraH vartam
jihv;ayA v;Avadat
goSuy;uDaH n;a
s;atpatiH s;a
vAvqDAn;am r;ADase
Gqt;am duhAte
s;anutyaH aBid;Asat
gqZ;adByaH ;agne
v;ajreZa any;aH
;amatreBiH qjIS;iZam
pr;a manda
naH dy;OH
;aVgirasAm y;at
naya y;aH
v;arDAt y;am
havanazrutA v;izvABiH
aG;azaMsaH Izata
indra dev;AH
te pr;a
bqh;an pr;a
pr;a ca
paruS;e g;avi
cit h;i
asya k;arZA
g;aBastI asmadry:ak
okiv;AMsA sut;e
naH m;anma
z;iraH jihv;ayA
hat;AsaH vAm
apatyas;Acam zr;utyam
daDarSati dev;An
padv;atIByaH hitv;I
;UrjaH napAt
y;e t;ava
dvip;adaH y;aH
gir;ayaH n;a
ray;im yaz;asam
jaG;Ana ;aDa
y;aviSWam y;aH
;anDaH p;ariSiktam
;ahim ap;aH
Am;Asu pakv;am
viMzat;im g;AH
iSwe asm;Akam
y;aTA ;asat
manIS;AH gir;ayaH
DETe jaW;aram
tigm;ena zoc;iSA
majm;anA j;anima
;ariSaZyan am;itrasya
p;ari bADasva
pur;Am dartn;um
mqSyante yuvat;ayaH
asiSy;an z;izItA=
n;qtamABiH Ut;I
dyotayat ady;utaH
val;am ;aVgiroBiH
y;eBiH s;Uryam
pr;ati v;Aram
y;aH Dr;ajasA
Dr;ajasA p;atmanA
Biy;asA sv;asya
vizv;avArABiH ;A
n;a vIx;ave
adAm;AnaH sudAman
arv;Ak r;aTam
pur;aH ukT;eBiH
satr;A te
im;AH y;AH
nar;Am sv;agUrtAH
BUt pr;a
sv;am muSAyati
doh;ase pIp;Aya
s;IkSantaH avrat;am
pqTivy;AH vEzvAnar;am
t;A nudasva
;aranDayaH z;arDataH
As;adya asm;in
gir;ayaH cit
jah;i v;qSZyAni
vqtrat;urA s;arvasenA
ay;AH ;A
dAtr;am dAz;uSe
Gor;A m;artAya
;avAtaH ;astqtaH
pur;u h;i
DqSZ;u m;Arutam
r;ada pUS;A
;indraH k;utsAya
agn;im yajat;am
s;an t;am
s;am jagmire
BAti s;a
any;AH qt;AvarI
vqc;IvantaH z;arave
vqj;aneSu v;ipraH
v;icarSaZe ;agne
pur;ohite t;e
eBy;aH n;qByaH
siYcatam y;at
s;UryaH darzat;aH
t;at kqDi
codayaH ark;asAtO
vAm saty;aH
panayanti B;AsaH
dayate v;anAni
;asmi ;aDa
h;an qjISin
id;A h;i
iva s;UryaH
saKy;e cakAra
vahataH ;indram
varUTy:am sudAnU
;A j;anam
v;ajreZa DqSZo
;avaDIH var;aziKasya
;A ;aDvan
yun;ajan zruSw;I
v;i ark;eZa
c;atuSpade s;omArudrA
;anedyAH anavady;AH
ca vqZ;ak
dId;ayat div;i
z;uSmaH vqSaB;aH
asy;a pras;antA
sat;Am jy;eSWatamA
c;ekite dyumn;eBiH
gotr;A g;avAm
yajY;EH s;a
tarasi svaBAno
rAy;aH v;i
saj;oSAH p;ari
r;ajoBiH areZ;uBiH
indra div;i
abravam sv;asuH
zruD;i br;ahma
qjIS;iZam ;indram
adriB;it praTamaj;AH
aj;araH n;a
;agne p;uraH
;A vivAsema
ayaMsta s;avanAya
s;atpatiH yuj;A
v;aruZaH saj;oSAH
Urm;ayaH r;uzantaH
stOn;AH ay;AsaH
jajYAn;am aB;i
naH mitramahaH
t;umram ;aCa
t;arutram apatyas;Acam
;A aj;AsaH
n;azat vay;Avantam
cit ud;AvatA
akramIt ;indrAgnI
IxIta aDvar;e
y;aH dev;am
ay;am rocayat
D;ArAm citr;aDrajatiH
vizv;AyupoSasam ;indrAgnI
kAruDAyaH tv;am
sr;uk Gqt;avatI
ca g;iraH
jAray;Ayi yajY;EH
bAbaDe r;odasI
vap;Avantam vizv;ahA
z;am naH
;A te
dAz;uSe vark
;indrAv;aruZA cakAn;A
naH ur;uZA
asi AGqZe
dUty;Am s;Uryasya
ap;aH v;i
candr;araTAH ;agram
;indraH k;im
rAy;A s;a
akt;oH vy:uSwO
veDaH ;aDvanaH
svaBiSw;isumnaH ;A
te vay;am
G;qZeH ;aganma
y;asmin pakt;iH
h;anti am;itram
tv;am divaH
v;arIman ;astAri
vqSw;iH ;IxyaH
t;at r;ekZaH
n;avyasI z;uciH
nUnot G;qZA
ary;aH ;arAtIH
ca vqtrah;atyAya
p;unar naH
v;edI sUno
;askqDoyuH aj;araH
;A yAhi
tur;aH n;a
;azastIH ut;a
y;at j;AyamAnaH
y;aH gqh;An
Ije zazam;e
vahaTa pur;A
v;ahanti many;ave
mAy;AH ;avasi
p;uraH vajrin
t;A yoDiSwam
vahantu kIr;iH
jiGnate y;at
y;ABiH y;ajate
h;i y;e
;anu vAm
Im aruS;aH
y;at aps;u
y;aH jAr;aH
ray;im puruv;Iram
ugr;aH jarit;Aram
y;aH indrAgnI
triSaDasTa sUr;In
puruhUta saKy;EH
adrisAno gotr;A
naH BUtam
yajY;am t;ena
cit id;A
stave d;ame
raZ;ayantu asm;e
r;odasI mahitv;A
kIr;aye cit
mahim;A vAm
kuv;it samasya
vas;utA te
te dAyi
z;acyA s;acA
y;e m;anum
amanTata mUrDn;aH
deva dev;An
agn;I ;avasA
div;aH n;araH
viv;asvataH vEzvAnar;am
;Anaw v;izvam
mimIhi zr;avAMsi
AhAv;am aB;i
dev;AsaH ;adaDuH
r;ajoBiH pur;u
v;ahasi j;oSam
s;arasvatI nid;aH
saB;Asu praj;AvatIH
g;arBam ;A
s;am vivyaTuH
napAt ;AGqZe
praTam;Ani cakraTuH
agn;im dev;AsaH
;aCa ;indram
DiSZyA vAm
s;a tok;asAtA
n;AmAni cit
paT;aH ca
zasy;amAnA n;a
t;ejasA asm;Akam
n;a y;at
;it t;ABiH
vqdD;asya cit
vAm v;ayaH
B;Ut sum;antunAmA
DIB;iH h;avyaH
indra param;aH
ray;iH z;avasA
yAsi dUty;Am
ah;am can;a
cakS;aZiH n;a
yajY;eSu dev;am
te sut;aH
id;am papn;e
t;anaye s;a
Badr;AyAm te
;araTIH anavas;aH
r;odasyoH vqkS;asya
suv;Iram ray;im
DqSZo v;aDiSaH
Gqtazr;iyA Gqtap;qcA
y;at vqtr;am
ha n;u
indra k;aH
ut;a nqv;at
;anu etu
n;a putr;AH
havate vAjiney;aH
Dattam asm;e
tv;am zradD;ABiH
sub;anDuH div;aH
itT;A D;iyaH
gopAy;atam naH
m;arutaH y;am
puraet;A sug;eSu
t;Urvan ;ojIyAn
n;a t;am
d;azadyum tv;am
z;ucivratA Adity;An
v;aruZAya sapr;aTaH
virapzin t;am
v;i te
sahasaH y;asya
uS;asaH candr;araTAH
v;i yAsi
ayujmahi aB;i
indra svaDAvaH
pr;ati asti
n;itikti y;aH
te m;anaH
mah;aH y;antaH
div;e-dive s;UryaH
y;ayA vajrivaH
p;ari ur;u
;ajuSwiH n;a
pUS;aZam r;aTe
dIdiv;AMsam pad;am
vidy;Ama v;astoH
z;uSZasya az;uSasya
asy;a v;i
G;qtAsutI dr;aviZam
agne vitar;am
agne ;avase
gamemahi y;aH
vqhatam v;iSUcIm
;it ;indraH
;upa tvA
;A pur;astAt
;A dUt;aH
;ekam tav;asam
;adidyutat s;u
ca im;e
asTAt ;ayohanuH
vaner;Aw tod;aH
tv;am devi
v;icetAH zr;otA
sut;am ;indrAgnI
y;A param;A
;it vAvqDe
indrAgn;I n;a
te agne
qSv;am ;AvaH
y;A m;ahi
mAy;ayA vAvqDAn;am
kSatr;am aj;aram
gqZat;aH urvy:UtiH
aceti y;ena
m;AnuSIH ajIgar
s;ahyoH pr;a
avqk;eBiH svast;i
yajY;EH m;artaH
v;izvA ;it
s;am svast;i
s;antam nutT;AH
naH dad;uSAm
sunvat;e Bar;advAjAya
te ady;a
d;Asam z;ambaram
sIm ;upa
indra yAhi
anavady;AH ;ariSwAH
s;aMdqSwO tv;Am
gIrB;iH varDa
vasat;iH vanej;AH
;indrAgnI t;ABiH
vaH n;araH
patatr;iBiH ;arZasaH
pr;a ArdayaH
h;otA mandr;aH
paZ;eH cit
y;A sady;aH
agqBZata v;izaH
n;a marDataH
y;AH ;adevaH
ty;at adamAyaH
t;UtujAnaH yUT;A
dvit;A anamat
;A tvA
h;i aDvarIyat;Am
gqZat;e citr;arAtI
r;ADasA zr;avasA
m;AkiH naH
kS;ayam agne
te kAk;ut
;A gqh;apatim
;indrAgnI yuv;oH
ut;a Ga
r;AjA iva
Iyate y;AH
pUSan brahmac;odanIm
r;uzantaH kqZ;oti
h;qdaye ;Ahitam
;AyuH t;arantaH
y;at v;Acam
drv:annaH vanv;an
zr;eSWaH ady;a
mrada m;anaH
m;artyaH dyumn;Aya
m;ArutAya sv;atavase
astu s;omam
dAz;uSaH m;artyasya
z;UrasAtO y;at
s;ome stum;asi
;indraH suh;avaH
mah;A m;anasA
pr;a pUr;avaH
vIry:A y;Ani
y;asya g;AH
;aDi s;Anu
;indram asya
s;uSvim indra
enam Ad;idezati
n;u gqZAn;aH
naH B;arAya
y;Asi y;at
tvA pqTivy;Am
Ban;akti van;uSAm
BUtam urv;I
p;arA adAt
;upa stoSAma
piZak qjISin
tutury;At ;akAri
;it dadAti
Am;Asu ant;ar
v;aram v;ahasi
arv;Ak yAh;i
mah;aH rAy;aH
;anu zriy;A
m;adAH bqh;at
pUr;avaH stavante
m;ahi zr;avaH
aj;Azvam ;upa
ant;arikSA t;apa
vay;AH iva
vqtr;am ;anu
maG;A ca
k;Amam agne
;aDa dvit;A
sut;e astAvi
n;a ah;am
het;iH rudr;asya
ajara nIc;A
agn;iH vratap;AH
iSw;O ;adidyutat
g;oopazA ;AGqZe
param;ABiH ut;a
p;ari vaH
deva vivAsasi
;anu indra
t;ava kr;atuBiH
;upa yanti
pr;a vay;Am
Im sp;qDaH
pr;a te
v;izvam pur;A
;it asya
qDIm;ahi saDam;AdaH
v;izvam ;AyuH
p;UrvA ;A
vAm vIry:A
pr;a rAt;iH
;A v;Acam
varivasy;an uz;ane
s;a pratnav;at
s;u tiSWa
zr;avAMsi yUT;A
qcy;amAnA t;am
devi dAz;uSe
sUry;AyAH pr;a
vqtrah;aZam puraMdar;am
pratidoS;am asTAt
az;aniH sqjAn;A
;avasA n;avyaH
s;ahaDyE ;aDa
Datt;e DAny:am
;ati yATaH
ady;a dUt;aH
Ozij;aH n;a
mAt;A vizvav;idA
z;eSaH aByAvart;ine
animAn;aH suv;ahmA
y;at rodasI
pinva vasud;eyAya
raBas;am qZacy;utam
adyOt y;aTA
mAt;A mah;aH
samAn;am n;Ama
v;AjAn sT;AH
s;udAman t;at
v;iprasya suSwut;im
mUrD;Anam div;aH
usr;A vy;uSi
tv;am vqD;aH
pavante ;indavaH
m;Arutam gaZ;am
;araZAni ganma
yajY;AnAm s;adanam
vqtrah;atyAya r;aTam
;ut s;Uryam
s;am y;aTA
v;izvA t;amAMsi
aBavaH j;agataH
h;avam y;ajamAnasya
sah;asrA n;i
yoD;am qSv;am
cy;avanaH m;AnuSIZAm
naH ugra
Ay;um atiTigv;am
sah;a n;a
muca s;aKAyA
;avAtaH puruhUt;aH
t;A havAmahe
v;ahiSWAH aB;i
anen;aH vaH
r;odasI urUc;I
ca pUS;A
;A br;ahma
t;A n;qByaH
aB;i st;omAH
;atkam suraB;im
aspqDran v;izveSAm
s;OBagAni daDir;e
r;aTam pr;a
pr;acetAH agn;iH
agn;im kav;im
pr;a n;u
tvA yajY;AsaH
y;ajamAnasya sIda
kal;azA somaD;AnA
p;ArTivA ray;im
vy;aTiH ;A
in;oti aj;araH
r;ejate agne
vedy;ABiH vEzvAnar;aH
;ayajYasAcaH ;apyaH
pur;i iva
tok;asAtA t;anaye
v;izvam Aj;O
paT;aH v;AjasAtaye
vIh;i svast;im
atiTigv;am asmE
vqSaB;aH vizv;arUpaH
Apapr;uSI p;ArTivAni
d;Azati t;asmAt
baBUTa s;a
naH priy;A
zat;ahimAH suv;IrAH
vizp;atim z;azvatInAm
z;arma z;AradIH
siSvap tv;am
tv;e tv;am
r;AyaH ary;aH
ut;a y;e
manoj;uvA svatavaH
vid;e h;i
am;qtasya D;Ama
jy;otiH am;qtam
yATaH riS;aH
ray;im DatT;aH
zv;aH ;asat
v;i vartete
vaD;Aya d;Azati
naH san;im
s;a t;u
s;a jajYe
sIm aruZ;AsaH
puruSwuta br;avAma
ur;u cakramATe
ray;im ;A
puSyati kS;ayam
DAt bqh;antam
ark;eBiH sUno
hUy;amAnA s;am
s;aH indra
vA mah;aH
s;a t;at
;aCa deva
te z;uSmaH
savitar pAy;uBiH
citr;aH nayat
t;aturiH n;u
tv;am r;aTam
panay;Ayyam vAm
ix;aH p;atiH
b;iBrati viz;Am
havy;am aVgiraH
bqhat;aH n;ayantIH
ty;am mAy;ayA
nineTa ;anu
mahiS;AH agqBZata
vavqtyAt madry:ak
ca havyav;AhanaH
suv;ajram ;A
pArTav;AnAm ;A
qtajAta rAy;A
g;oSu aps;u
m;adAya kr;atve
v;i qt;ena
viBv;ane kqt;A
B;uvanAni y;asmin
As;uH purukqt
kr;atvA d;AH
vqSaZA vaDrimaty;AH
jihate indra
dyum;at ;ajasreZa
s;omapItaye ;ut
vqtrah;A puruc;etanaH
;At vAm
urUc;I Ay;um
mah;Ani praTam;Ani
iva zaryah;A
n;a z;arDate
aB;i s;anti
Badr;am gqh;am
tvA AB;iH
t;AH ;anu
;azramAsaH ur;avaH
ca B;uvaH
;upa dy;Am
niy;utaH dAz;uSe
pqTivy;AH arD;am
brahmakAr;AH ukT;A
naH v;AjAya
u ayAn
k;arZA patayataH
d;aza vaz;AsaH
s;a sar;aTam
ev;a jajYAn;am
;A dev;An
d;Evyasya y;Aman
huvAn;aH n;a
eB;iH puruhUta
n;avyasaH j;aramAZasya
;indra iC;Ami
;aMhaH n;a
yajY;aH ut;a
v;qSZyA m;AnuSAZAm
cAyamAn;Aya z;ikSan
;aCa samudr;am
tv;at kS;etrAZi
naH indrAvaruZA
vavqtat zat;Azrim
p;USan t;ava
taret d;AsvAn
aBarat viv;asvataH
kariSy;an tv;am
mIX;uSaH s;anti
iva svaD;A
j;anAya cit
y;At ev;a
;arca g;Aya
narA ;upa
sudAnU ;A
;azvAnAm purup;anTAH
jr;ayAMsi mah;aH
;Urjam naH
ray;im suv;Iram
y;ajvanaH g;AvaH
uS;asaH agne
havy;EH v;edI
k;Amena kqta
n;i asIdaH
