DAraya ;iSam
naH vidv;An
tvA m;adAya
y;e te
udagrAB;asya nam;ayan
s;a y;aH
y;aTA ;apavaTAH
sah;asracakSase y;asya
ady;a vqZImahe
Bara svarv;idam
n;AmAni yahv;aH
g;avyAni avyata
tqt;Iye santu
aB;i s;OBagA
;A y;ena
;avye vqSw;im
m;aDumattamaH sut;aH
asya vIry:am
iva aB;i
punIhi vizv;ataH
suSWAn;e r;odasI
Im trit;asya
indo v;qSA
As;adam s;a
;iSaH y;aH
n;avyase vizvavAra
vAjay;uH punAn;aH
;adAByaH s;omaH
kav;iH y;onO
v;icarSaZim ;indum
m;adaH p;ari
;A ;indrasya
soma mand;ayan
;induH akSAr
y;eSu v;arDate
;atyavim t;am
dUrak;e ca
Bava sUpasT;ABiH
hinvanti ;adriBiH
p;avamAna ray;im
usr;iyABiH pratir;an
biBy;uSA t;e
pratn;eBiH ;aDvaBiH
reB;aH vanuSyate
br;ahma t;ena
iSir;AsaH adr;uhaH
s;omaH ;ati
asmay;uH saty;Ani
;indum sah;asracakSasam
aznavat razm;iBiH
ih;a u
r;AjA v;Acam
;upa ca
n;a Den;avaH
Diy;A n;a
;aZvIH samary;e
zrIZItana ;indum
sut;eSu AB;uvaH
asvaran div;aH
p;avamAnAsaH ;indavaH
;apa tv;acam
Ay;avaH r;asam
mqjAn;aH g;oBiH
kS;ipABiH s;am
y;onim v;anyam
n;ihitam y;at
ganDarv;aH ;aDi
;indavaH p;avate
t;at y;atra
baBr;ave n;u
Im hinvanti
zravasy;avaH n;a
vIr;avat ;azvAvat
y;aH urv;Im
kSarantu m;aDumat
s;ahasaH parvatAv;qDam
mandray;uvaH vipany;uvaH
s;am DIt;ayaH
paT;iBiH y;e
indrap;AnaH kqZv;an
;aCa s;aniSyadat
samudramIVKaya p;avasva
kav;iH ay;am
st;ukA iva
y;atra am;qtAsaH
p;avamAnena s;uSwutAH
suv;Iryam yUy;am
s;aKAyam ;A
m;ahaH ;A
minAti D;IraH
naH gqh;am
dIDaram s;a
;avAtaH aB;i
v;AjeSu codaya
v;Ajam vAj;I
s;omAsaH g;oBiH
hit;aH n;a
vic;aran vAj;ayan
daDn;A ;it
mat;IH v;eH
riZanti barh;iSi
vIr;eZa vIravaH
kav;iH y;aH
m;aDvaH aMz;uH
y;at ca
marmqjy;amAnaH ;atyaH
pUt;AH vipazc;itaH
g;oBiH zrIZIta
syandasva s;oma
usr;iyaH v;qSA
r;odasI Diy;A
suy;amA s;arasvatI
p;qTak Den;uH
sarv;atAtaye bqhat;e
t;at s;omaH
v;asAnaH arSasi
bqh;at ;arSat
tv;am h;i
vagn;um indriy;am
pit;aram ;A
div;aH z;izuH
pr;a gAyatr;eZa
azvahay;EH ;anizitam
t;uByam v;AtAH
p;avamAna zrav;Ayyam
;indo ;indrasya
gAyata p;avamAnam
;ava cakSi
y;onO qt;asya
priy;am t;am
naH yajY;am
tvA nqmZ;Ani
m;adaH sut;aH
vqSaB;aH vqSAy;ate
apapr;oTantaH sanut;ar
nud;asva y;AH
pr;a D;ArA
samudr;am s;inDavaH
niD;ApatiH suk;qttamAH
jy;otIMSi pavamAna
vqSan v;qSA
st;uBaH aB;i
vay;am D;anA
Ut;iBiH jy;ok
jIv;ase tv;am
s;am ajEH
p;ari v;ArAZi
gAhate d;aDat
div;aH v;asu
r;AjA dev;AnAm
p;avamAnasya vizvavit
naH y;at
sv:ar s;iSAsan
v;Ajapastyam ;A
;A asmin
rUp;am n;a
m;aDvaH agriy;aH
hinvAn;AsaH n;a
s;Uryam v;asAnaH
svaDvar;aH s;omaH
nirZ;ijam Dire
hinv;anti sapt;a
m;artyeSu ;A
;agne t;ena
pun;antu m;Am
;induH satr;AcA
g;AH ;ataH
Urm;iZA h;arim
D;ArA m;aDvaH
tvA sah;asracakSasam
vAjas;qt k;anikranti
h;aste asya
sIdati yajY;asya
v;i DAvasi
;A dev;AnAm
d;aDat stotr;e
punIh;i ;indrAya
codayaH aB;i
kr;atuH ;induH
y;ajate p;arImaZi
ayakSm;AH bqhat;IH
;avyam sam;ayA
s;ahaH j;uvaH
n;avyase n;avIyase
;indrasya Bavasi
v;iSZum m;atsi
y;am I
;ojasA marmqjy;ante
acikradat punAn;aH
kqZute nad;ISu
s;omam qt;asya
;A suS;Ava
Gqt;am pavasva
p;UrvAsaH ;uparAsaH
k;am papuH
priy;am ;agan
sah;asraZItiH y;atiH
;astuH m;anasA
y;aH asm;An
;arAvZaH p;avamAnAH
Az;avaH Diy;A
;indo samudramIVKaya
arSati v;qSaZam
pav;itrA v;itatAni
u ca
n;a y;onim
y;UnA ha
Dar;uZeSu Ar;aBam
pavasva sahasrajit
ca n;azan
prasnAp;ayanti Urm;iZam
p;avamAnaH stqZ;an
m;adAnAm ;indraH
dyukS;aH san;adrayiH
;A n;i
jy;otiH v;izvam
h;ariH ;indrasya
c;Arum sukqty;ayA
ant;ar r;odasI
ty;am pUrvy;am
c;akSAZaH arSati
k;qtvyAH iva
p;avamAnaH asr;iDam
s;omaH dev;AnAm
s;inDUn v;i
p;avantAm ;A
m;aMhiSWam aDvar;e
v;i pavamAna
soma z;atrUn
BiS;ak brahm;A
;indrAya G;qSvayaH
Az;iram s;omaH
vAj;iBiH yat;aH
D;ArayA mar;utvate
arSati ruj;at
Ay;ave hinv;anti
p;azyamAnAsaH ;Apyam
pavate svAd;uH
s;inDUnAm B;avan
s;omAsaH svADy:aH
sy;a D;ArayA
apas;eDan durit;A
v;iSZave ;iSam
s;inDoH Urm;eH
jAm;iBiH n;qDUtaH
;A dAv;ane
;azvayA iva
m;aDumattamaH ;indrAya
Den;avaH ;agman
soma tasT;atuH
Bavatu priy;aH
n;a ;indrAt
divy;aH dAnupinv;aH
g;aBastyoH aB;i
sahasras;AH zatas;AH
v;iH Barat
p;aYca D;IraH
mah;Antam tvA
;A suvAn;aH
g;aBastyoH vqSAy;ate
s;Uryam sah;a
kal;azam m;aDumAn
;avarAZi ;A
saty;Ani kqZv;an
s;inDoH iva
mar;udByaH vAy;ave
svarv;it k;ozam
indra s;omam
p;aYca prad;izaH
y;ujyAya ;agne
v;i s;OBagA
g;ATayA purAZy;A
;AyuDA s;a
viSw;apam jan;ayan
v;i ca
p;ari adravat
kav;iH dev;avItaye
v;itate pav;itre
;indram r;aTAH
veD;asaH ;avyaH
pratn;AsaH Ay;avaH
yanti Den;avaH
naH jah;i
Bara tv;am
ena sumat;im
pavamAna pUyase
kany:Asu naH
maDuzc;utam s;a
gavy;A s;omAsaH
kal;aze usr;iyABiH
praj;ApatiH v;anasp;atim
v;izvA G;aniGnat
m;adaH nqmZ;A
ulokakqtn;um Imahe
;A div;aH
pavasva adveS;e
y;adum p;ari
ven;AH anUSata
k;ozam div;aH
rohayaH div;i
iSyasi ;indo
SaSw;im sah;asrA
srava ;adabDaH
cit y;asya
;aditeH ;aDi
te s;argAH
Den;avaH h;ariH
naH sah;asrA
uB;e dy;AvApqTiv;I
aB;i z;UraH
suv;Iryam suvAn;AH
yoS;itam eS;a
pavasva s;anitA
adr;uhe vIt;I
jahi apaGn;antaH
avyaT;iH Barat
hinv;anti s;Uram
c;akSuH cit
D;ArAH asqkSata
Baja t;ava
s;am ;indreZa
s;amqtA s;eDati
punAn;am p;ari
yAhi ;indrasya
ugr;eByaH cit
div;aH hinv;an
n;a s;Anu
d;aza svaD;ABiH
dasm;aH aB;i
arSati viGn;an
;induH hinvAn;aH
car;uH n;a
praTanta D;iyaH
r;akSAMsi sukrato
tan;UnAm vqZIm;ahe
rayIZ;Am v;AjeSu
y;onim DarZas;iH
v;qSA ;it
apaGn;an pavase
v;AcaH Irate
p;qzniH agriy;aH
